x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.259427e+01,1.209679e+01,8.888290e+00,-1.527993e-01,9.137559e-01,8.936442e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.259427e+01,1.159224e+01,9.118588e+00,-3.713772e-01,1.034518e+00,9.184595e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.259427e+01,1.059564e+01,9.621049e+00,-4.793380e-01,1.092368e+00,9.694721e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.259427e+01,9.428574e+00,1.005506e+01,-2.791270e-01,1.048228e+00,1.011340e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.259427e+01,8.610590e+00,1.034257e+01,-1.171767e-02,9.432492e-01,1.038550e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.259427e+01,8.610590e+00,1.050700e+01,3.216590e-01,8.070307e-01,1.054285e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.259427e+01,9.428574e+00,1.056694e+01,5.470017e-01,7.059716e-01,1.060462e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.259427e+01,1.059564e+01,1.054605e+01,6.499635e-01,6.643610e-01,1.058692e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.259427e+01,1.159224e+01,1.055310e+01,4.586745e-01,7.098329e-01,1.058688e+01
2.850000e+02,1.500000e+01,4.974861e-01,1.259427e+01,1.209679e+01,1.060223e+01,1.790232e-01,7.815408e-01,1.063250e+01
1.500000e+01,4.500000e+01,9.549815e-01,1.259427e+01,1.163929e+01,8.603547e+00,-2.297412e-01,9.757635e-01,8.661751e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.259427e+01,1.014392e+01,8.726328e+00,-5.819052e-01,1.185385e+00,8.825675e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.259427e+01,7.633869e+00,9.104983e+00,-7.674327e-01,1.315951e+00,9.231543e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.259427e+01,4.662237e+00,9.082752e+00,-1.555748e-01,1.177156e+00,9.160038e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.259427e+01,2.566230e+00,8.574172e+00,1.352513e-01,9.914059e-01,8.632358e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.259427e+01,2.566230e+00,8.717565e+00,3.686083e-01,7.299799e-01,8.755837e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.259427e+01,4.662237e+00,9.524978e+00,6.003391e-01,5.522678e-01,9.559843e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.259427e+01,7.633869e+00,9.939693e+00,1.027504e+00,4.228851e-01,1.000160e+01
2.550000e+02,4.500000e+01,2.450350e+00,1.259427e+01,1.014392e+01,1.008864e+01,7.075992e-01,5.494894e-01,1.012834e+01
2.850000e+02,4.500000e+01,9.549815e-01,1.259427e+01,1.163929e+01,1.025641e+01,2.665223e-01,7.166976e-01,1.028487e+01
1.500000e+01,7.500000e+01,1.952132e+00,1.259427e+01,1.064214e+01,7.964112e+00,-3.628473e-01,1.117306e+00,8.050286e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.259427e+01,7.585371e+00,7.853536e+00,-9.137283e-01,1.581439e+00,8.063118e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.259427e+01,2.454427e+00,7.547046e+00,-3.333261e-01,1.953132e+00,7.802803e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.259427e+01,-3.620056e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.259427e+01,-7.904625e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.259427e+01,-7.904625e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.259427e+01,-3.620056e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.259427e+01,2.454427e+00,8.152975e+00,7.473499e-01,-2.439991e-01,8.190792e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.259427e+01,7.585371e+00,9.064757e+00,1.092448e+00,1.363886e-01,9.131367e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.259427e+01,1.064214e+01,9.500222e+00,4.128662e-01,5.700559e-01,9.526260e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.259427e+01,9.428574e+00,7.140405e+00,-3.798340e-01,1.346489e+00,7.276173e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.259427e+01,4.471526e+00,7.352903e+00,-7.098354e-01,2.196551e+00,7.706743e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.259427e+01,-3.849131e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.259427e+01,-1.369989e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.259427e+01,-2.064801e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.259427e+01,-2.064801e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.259427e+01,-1.369989e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.259427e+01,-3.849131e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.259427e+01,4.471526e+00,8.351208e+00,8.559919e-01,-4.955723e-01,8.409578e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.259427e+01,9.428574e+00,8.535866e+00,4.209591e-01,3.354378e-01,8.552821e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.259427e+01,8.512157e+00,6.921078e+00,-1.999238e-01,1.552552e+00,7.095894e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.259427e+01,2.120127e+00,6.138993e+00,-2.246578e-01,2.228802e+00,6.534927e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.259427e+01,-8.609222e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.259427e+01,-2.131161e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.259427e+01,-3.027110e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.259427e+01,-3.027110e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.259427e+01,-2.131161e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.259427e+01,-8.609222e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.259427e+01,2.120127e+00,7.059324e+00,2.741402e-01,-5.379369e-01,7.085096e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.259427e+01,8.512157e+00,8.247125e+00,2.146991e-01,1.262206e-01,8.250885e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.259427e+01,8.399718e+00,6.892803e+00,1.144819e-01,1.589897e+00,7.074716e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.259427e+01,1.831624e+00,5.876247e+00,9.886076e-02,2.229029e+00,6.285588e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.259427e+01,-9.193257e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.259427e+01,-2.224553e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.259427e+01,-3.145180e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.259427e+01,-3.145180e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.259427e+01,-2.224553e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.259427e+01,-9.193257e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.259427e+01,1.831624e+00,6.796577e+00,-1.483432e-01,-5.381630e-01,6.819464e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.259427e+01,8.399718e+00,8.218850e+00,-1.292573e-01,8.887582e-02,8.220347e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.259427e+01,9.153412e+00,7.014377e+00,3.412332e-01,1.400341e+00,7.160927e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.259427e+01,3.765500e+00,6.997110e+00,5.447708e-01,2.224202e+00,7.362296e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.259427e+01,-5.278386e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.259427e+01,-1.598537e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.259427e+01,-2.353742e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.259427e+01,-2.353742e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.950000e+02,2.857964e+01,1.259427e+01,-1.598537e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.950000e+02,1.787266e+01,1.259427e+01,-5.278386e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.950000e+02,8.828773e+00,1.259427e+01,3.765500e+00,7.995415e+00,-6.909273e-01,-5.232240e-01,8.042252e+00
