x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.671395e+00,3.322972e-13,3.322972e-13,9.671395e+00
4.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.821395e+00,-2.742932e-12,-2.742932e-12,9.821395e+00
7.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.012140e+01,1.482192e-12,1.482192e-12,1.012140e+01
1.050000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.042140e+01,-5.336650e-12,-5.336650e-12,1.042140e+01
1.350000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.072140e+01,2.089469e-12,2.089469e-12,1.072140e+01
1.650000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.102140e+01,-5.924979e-12,-5.924979e-12,1.102140e+01
1.950000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.132140e+01,1.928887e-12,1.928887e-12,1.132140e+01
2.250000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.162140e+01,-4.299731e-12,-4.299731e-12,1.162140e+01
2.550000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.192140e+01,1.010155e-12,1.010155e-12,1.192140e+01
2.850000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.207140e+01,-9.691803e-13,-9.691803e-13,1.207140e+01
1.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.671395e+00,-2.449596e-13,-9.540220e-13,9.671395e+00
4.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.821395e+00,-7.066348e-13,9.706014e-13,9.821395e+00
7.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.012140e+01,-1.087604e-12,-4.249993e-12,1.012140e+01
1.050000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.042140e+01,-1.359505e-12,1.903307e-12,1.042140e+01
1.350000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.072140e+01,-1.482429e-12,-5.903189e-12,1.072140e+01
1.650000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.102140e+01,-1.482903e-12,2.142523e-12,1.102140e+01
1.950000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.132140e+01,-1.322320e-12,-5.370756e-12,1.132140e+01
2.250000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.162140e+01,-1.058472e-12,1.575984e-12,1.162140e+01
