x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.708346e+00,-1.675504e-01,6.401256e-02,9.710003e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.803117e+00,-4.189082e-01,1.567106e-01,9.813314e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006028e+01,-5.697073e-01,2.074169e-01,1.007853e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.029824e+01,-4.214376e-01,1.669007e-01,1.030821e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.041986e+01,-1.714686e-01,6.687964e-02,1.042148e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.041986e+01,1.714686e-01,-6.687964e-02,1.042148e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.029824e+01,4.214376e-01,-1.669007e-01,1.030821e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006028e+01,5.697073e-01,-2.074169e-01,1.007853e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.803117e+00,4.189082e-01,-1.567106e-01,9.813314e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.708346e+00,1.675504e-01,-6.401256e-02,9.710003e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.390067e+00,-2.506874e-01,1.277465e-01,9.394282e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.370180e+00,-6.505413e-01,3.127832e-01,9.397941e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.488280e+00,-9.005319e-01,4.408364e-01,9.541109e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.265862e+00,-3.836190e-01,3.124423e-01,9.279062e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.583035e+00,-1.194282e-01,1.325717e-01,8.584890e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.583035e+00,1.194282e-01,-1.325717e-01,8.584890e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.265862e+00,3.836190e-01,-3.124423e-01,9.279062e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.488280e+00,9.005319e-01,-4.408364e-01,9.541109e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.370180e+00,6.505413e-01,-3.127832e-01,9.397941e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.390067e+00,2.506874e-01,-1.277465e-01,9.394282e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.686158e+00,-3.923898e-01,2.729894e-01,8.699300e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.415288e+00,-1.006621e+00,7.198035e-01,8.505791e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.753076e+00,-5.506563e-01,1.087305e+00,7.848289e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.753076e+00,5.506563e-01,-1.087305e+00,7.848289e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.415288e+00,1.006621e+00,-7.198035e-01,8.505791e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.686158e+00,3.923898e-01,-2.729894e-01,8.699300e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,7.795532e+00,-4.097879e-01,5.077042e-01,7.822788e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.779695e+00,-7.888937e-01,1.335382e+00,7.932796e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.779695e+00,7.888937e-01,-1.335382e+00,7.932796e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,7.795532e+00,4.097879e-01,-5.077042e-01,7.822788e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,7.539434e+00,-2.173149e-01,7.252405e-01,7.577352e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,6.462872e+00,-2.627294e-01,1.370816e+00,6.611874e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,6.462872e+00,2.627294e-01,-1.370816e+00,6.611874e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,7.539434e+00,2.173149e-01,-7.252405e-01,7.577352e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,7.503540e+00,1.214811e-01,7.658637e-01,7.543501e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,6.173069e+00,1.100728e-01,1.371928e+00,6.324641e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,6.173069e+00,-1.100728e-01,-1.371928e+00,6.324641e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,7.503540e+00,-1.214811e-01,-7.658637e-01,7.543501e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,7.643079e+00,3.646878e-01,5.654155e-01,7.672636e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,7.386482e+00,5.960061e-01,1.368978e+00,7.535877e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,7.386482e+00,-5.960061e-01,-1.368978e+00,7.535877e+00
2.850000e+02,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,7.643079e+00,-3.646878e-01,-5.654155e-01,7.672636e+00
1.500000e+01,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,8.327416e+00,3.886721e-01,3.379963e-01,8.343331e+00
4.500000e+01,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,8.083522e+00,9.301098e-01,9.435935e-01,8.191386e+00
7.500000e+01,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,5.793651e+00,3.840320e-01,1.159687e+00,5.921043e+00
1.050000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,5.793651e+00,-3.840320e-01,-1.159687e+00,5.921043e+00
2.550000e+02,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,8.083522e+00,-9.301098e-01,-9.435935e-01,8.191386e+00
2.850000e+02,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,8.327416e+00,-3.886721e-01,-3.379963e-01,8.343331e+00
1.500000e+01,2.550000e+02,1.184203e+00,1.245987e+01,1.127567e+01,9.109030e+00,2.727216e-01,1.690663e-01,9.114679e+00
4.500000e+01,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,9.013595e+00,7.287278e-01,4.377509e-01,9.053594e+00
7.500000e+01,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,8.796826e+00,8.822663e-01,7.008787e-01,8.868696e+00
1.050000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,8.271480e+00,3.615592e-01,1.085915e+00,8.350288e+00
1.350000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,3.005453e+00,1.109350e-01,7.193333e-01,3.092328e+00
1.650000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,3.005453e+00,-1.109350e-01,-7.193333e-01,3.092328e+00
1.950000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,8.271480e+00,-3.615592e-01,-1.085915e+00,8.350288e+00
2.250000e+02,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,8.796826e+00,-8.822663e-01,-7.008787e-01,8.868696e+00
2.550000e+02,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,9.013595e+00,-7.287278e-01,-4.377509e-01,9.053594e+00
2.850000e+02,2.550000e+02,1.184203e+00,1.245987e+01,1.127567e+01,9.109030e+00,-2.727216e-01,-1.690663e-01,9.114679e+00
1.500000e+01,2.850000e+02,4.974861e-01,1.245987e+01,1.196238e+01,9.512346e+00,1.885030e-01,9.134583e-02,9.514652e+00
4.500000e+01,2.850000e+02,1.276480e+00,1.245987e+01,1.118339e+01,9.579180e+00,4.903630e-01,2.312899e-01,9.594511e+00
7.500000e+01,2.850000e+02,2.584062e+00,1.245987e+01,9.875806e+00,9.824286e+00,7.314256e-01,3.446707e-01,9.857504e+00
1.050000e+02,2.850000e+02,4.132097e+00,1.245987e+01,8.327771e+00,1.019675e+01,1.009098e+00,3.972648e-01,1.025425e+01
1.350000e+02,2.850000e+02,5.223987e+00,1.245987e+01,7.235881e+00,1.059160e+01,6.345285e-01,2.082036e-01,1.061264e+01
1.650000e+02,2.850000e+02,5.223987e+00,1.245987e+01,7.235881e+00,1.059160e+01,-6.345285e-01,-2.082036e-01,1.061264e+01
1.950000e+02,2.850000e+02,4.132097e+00,1.245987e+01,8.327771e+00,1.019675e+01,-1.009098e+00,-3.972648e-01,1.025425e+01
2.250000e+02,2.850000e+02,2.584062e+00,1.245987e+01,9.875806e+00,9.824286e+00,-7.314256e-01,-3.446707e-01,9.857504e+00
2.550000e+02,2.850000e+02,1.276480e+00,1.245987e+01,1.118339e+01,9.579180e+00,-4.903630e-01,-2.312899e-01,9.594511e+00
2.850000e+02,2.850000e+02,4.974861e-01,1.245987e+01,1.196238e+01,9.512346e+00,-1.885030e-01,-9.134583e-02,9.514652e+00
