x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.808841e+00,-1.539474e-01,7.772658e-02,9.810357e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.876636e+00,-3.795536e-01,1.924015e-01,9.885798e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006804e+01,-5.122782e-01,2.553986e-01,1.008430e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.022933e+01,-3.640982e-01,2.075420e-01,1.023792e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.029768e+01,-1.479623e-01,8.305848e-02,1.029908e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.029768e+01,1.479623e-01,-8.305848e-02,1.029908e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.022933e+01,3.640982e-01,-2.075420e-01,1.023792e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006804e+01,5.122782e-01,-2.553986e-01,1.008430e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.876636e+00,3.795536e-01,-1.924015e-01,9.885798e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.808841e+00,1.539474e-01,-7.772658e-02,9.810357e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.516313e+00,-2.318699e-01,1.547841e-01,9.520396e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.465611e+00,-5.950543e-01,3.842286e-01,9.492077e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.505034e+00,-8.151832e-01,5.401678e-01,9.555207e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.179996e+00,-2.925926e-01,3.954841e-01,9.193168e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.420435e+00,-8.165259e-02,1.655603e-01,8.422458e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.420435e+00,8.165259e-02,-1.655603e-01,8.422458e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.179996e+00,2.925926e-01,-3.954841e-01,9.193168e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.505034e+00,8.151832e-01,-5.401678e-01,9.555207e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.465611e+00,5.950543e-01,-3.842286e-01,9.492077e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.516313e+00,2.318699e-01,-1.547841e-01,9.520396e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.859991e+00,-3.668958e-01,3.280496e-01,8.873651e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.555338e+00,-9.266938e-01,8.690705e-01,8.649153e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.796377e+00,-4.050735e-01,1.298507e+00,7.914145e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.796377e+00,4.050735e-01,-1.298507e+00,7.914145e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.555338e+00,9.266938e-01,-8.690705e-01,8.649153e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.859991e+00,3.668958e-01,-3.280496e-01,8.873651e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,8.030645e+00,-3.871084e-01,6.000421e-01,8.062330e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.995216e+00,-7.104143e-01,1.579648e+00,8.180675e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.995216e+00,7.104143e-01,-1.579648e+00,8.180675e+00
