x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.742867e+00,-1.800126e-03,4.301866e-02,2.743205e+00
7.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.765435e+00,-5.393397e-03,6.773443e-02,2.766269e+00
1.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.808238e+00,-8.934221e-03,8.763956e-02,2.809620e+00
1.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.847497e+00,-1.228427e-02,1.030429e-01,2.849387e+00
2.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.884892e+00,-1.516178e-02,1.148707e-01,2.887218e+00
2.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.921053e+00,-1.712766e-02,1.240697e-01,2.923736e+00
3.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.955662e+00,-1.765410e-02,1.314334e-01,2.958636e+00
3.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.987638e+00,-1.631906e-02,1.375647e-01,2.990848e+00
4.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.015488e+00,-1.309614e-02,1.428675e-01,3.018899e+00
4.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.037880e+00,-8.549467e-03,1.475456e-01,3.041473e+00
5.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.054222e+00,-3.688773e-03,1.516281e-01,3.057986e+00
5.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.064984e+00,3.583858e-04,1.550303e-01,3.068902e+00
6.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.071661e+00,2.693029e-03,1.576367e-01,3.075705e+00
6.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.076400e+00,2.919104e-03,1.593786e-01,3.080527e+00
7.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.081432e+00,1.235346e-03,1.602833e-01,3.085598e+00
7.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.088542e+00,-1.737200e-03,1.604818e-01,3.092709e+00
8.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.098752e+00,-5.182863e-03,1.601905e-01,3.102894e+00
8.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.112189e+00,-8.239536e-03,1.596747e-01,3.116293e+00
9.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.128095e+00,-1.009170e-02,1.591991e-01,3.132160e+00
9.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.144942e+00,-1.010406e-02,1.589710e-01,3.148974e+00
1.025000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.160742e+00,-8.043532e-03,1.590899e-01,3.164753e+00
