x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.515152e+01,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633274e+00,4.984064e+00,1.175581e-05,9.968667e+00
4.545455e+01,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633316e+00,4.983972e+00,3.536579e-05,9.968657e+00
7.575758e+01,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633429e+00,4.983874e+00,5.922503e-05,9.968706e+00
1.060606e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633608e+00,4.983768e+00,8.331676e-05,9.968808e+00
1.363636e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633861e+00,4.983653e+00,1.073445e-04,9.968969e+00
1.666667e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634193e+00,4.983534e+00,1.306429e-04,9.969198e+00
1.969697e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634610e+00,4.983417e+00,1.521033e-04,9.969500e+00
2.272727e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635105e+00,4.983316e+00,1.701764e-04,9.969879e+00
2.575758e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635661e+00,4.983248e+00,1.829673e-04,9.970326e+00
2.878788e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636242e+00,4.983236e+00,1.884807e-04,9.970824e+00
3.181818e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636797e+00,4.983299e+00,1.850125e-04,9.971336e+00
3.484848e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637258e+00,4.983450e+00,1.716321e-04,9.971810e+00
3.787879e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637553e+00,4.983686e+00,1.486320e-04,9.972184e+00
4.090909e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637620e+00,4.983989e+00,1.177326e-04,9.972393e+00
4.393939e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637420e+00,4.984322e+00,8.190123e-05,9.972387e+00
4.696970e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636949e+00,4.984645e+00,4.476234e-05,9.972140e+00
5.000000e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636234e+00,4.984920e+00,9.835104e-06,9.971658e+00
5.303030e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635330e+00,4.985122e+00,-2.013096e-05,9.970976e+00
5.606061e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634305e+00,4.985244e+00,-4.349824e-05,9.970150e+00
5.909091e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633228e+00,4.985289e+00,-5.975362e-05,9.969239e+00
6.212121e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.632156e+00,4.985271e+00,-6.928463e-05,9.968302e+00
6.515152e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.631137e+00,4.985205e+00,-7.305485e-05,9.967387e+00
6.818182e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.630201e+00,4.985110e+00,-7.229903e-05,9.966528e+00
7.121212e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.629365e+00,4.984998e+00,-6.827300e-05,9.965748e+00
7.424242e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.628636e+00,4.984880e+00,-6.210522e-05,9.965058e+00
7.727273e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.628013e+00,4.984763e+00,-5.471369e-05,9.964461e+00
8.030303e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627493e+00,4.984653e+00,-4.678491e-05,9.963955e+00
8.333333e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627067e+00,4.984550e+00,-3.878722e-05,9.963535e+00
8.636364e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626727e+00,4.984456e+00,-3.100401e-05,9.963193e+00
8.939394e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626466e+00,4.984370e+00,-2.357122e-05,9.962924e+00
9.242424e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626276e+00,4.984290e+00,-1.651097e-05,9.962720e+00
9.545455e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626153e+00,4.984216e+00,-9.765909e-06,9.962576e+00
9.848485e+02,1.515152e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626107e+00,4.984145e+00,-3.230441e-06,9.962501e+00
1.515152e+01,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633182e+00,4.984042e+00,1.274549e-05,9.968576e+00
4.545455e+01,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633220e+00,4.983904e+00,3.841841e-05,9.968540e+00
7.575758e+01,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633327e+00,4.983756e+00,6.457873e-05,9.968559e+00
1.060606e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633498e+00,4.983595e+00,9.134512e-05,9.968626e+00
1.363636e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633744e+00,4.983419e+00,1.185219e-04,9.968751e+00
1.666667e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634075e+00,4.983234e+00,1.454688e-04,9.968945e+00
1.969697e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634501e+00,4.983049e+00,1.709862e-04,9.969222e+00
2.272727e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635021e+00,4.982884e+00,1.932605e-04,9.969590e+00
2.575758e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635621e+00,4.982770e+00,2.099273e-04,9.970052e+00
2.878788e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636268e+00,4.982739e+00,2.183251e-04,9.970597e+00
3.181818e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636904e+00,4.982826e+00,2.159870e-04,9.971192e+00
3.484848e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637451e+00,4.983054e+00,2.013365e-04,9.971780e+00
3.787879e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637822e+00,4.983422e+00,1.744097e-04,9.972285e+00
4.090909e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637938e+00,4.983898e+00,1.372785e-04,9.972623e+00
4.393939e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637749e+00,4.984425e+00,9.385657e-05,9.972722e+00
4.696970e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637247e+00,4.984934e+00,4.901852e-05,9.972543e+00
5.000000e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636472e+00,4.985363e+00,7.407493e-06,9.972086e+00
5.303030e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635492e+00,4.985675e+00,-2.752960e-05,9.971393e+00
5.606061e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634388e+00,4.985857e+00,-5.395784e-05,9.970528e+00
5.909091e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633241e+00,4.985920e+00,-7.155281e-05,9.969566e+00
6.212121e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.632115e+00,4.985884e+00,-8.109967e-05,9.968573e+00
6.515152e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.631057e+00,4.985777e+00,-8.401025e-05,9.967603e+00
6.818182e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.630097e+00,4.985626e+00,-8.191412e-05,9.966696e+00
7.121212e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.629250e+00,4.985451e+00,-7.636867e-05,9.965875e+00
7.424242e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.628518e+00,4.985269e+00,-6.870097e-05,9.965151e+00
7.727273e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627900e+00,4.985091e+00,-5.994354e-05,9.964527e+00
8.030303e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627386e+00,4.984923e+00,-5.083366e-05,9.963998e+00
8.333333e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626969e+00,4.984768e+00,-4.185028e-05,9.963559e+00
8.636364e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626637e+00,4.984627e+00,-3.326035e-05,9.963201e+00
8.939394e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626383e+00,4.984498e+00,-2.516951e-05,9.962916e+00
9.242424e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626199e+00,4.984379e+00,-1.756844e-05,9.962698e+00
9.545455e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626080e+00,4.984268e+00,-1.036816e-05,9.962539e+00
9.848485e+02,4.545455e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626036e+00,4.984162e+00,-3.426427e-06,9.962448e+00
1.515152e+01,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.632997e+00,4.983998e+00,1.475941e-05,9.968394e+00
4.545455e+01,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633030e+00,4.983769e+00,4.464224e-05,9.968307e+00
7.575758e+01,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633121e+00,4.983521e+00,7.554305e-05,9.968263e+00
1.060606e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633272e+00,4.983247e+00,1.079045e-04,9.968256e+00
1.363636e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633499e+00,4.982941e+00,1.417908e-04,9.968300e+00
1.666667e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633823e+00,4.982609e+00,1.766774e-04,9.968414e+00
1.969697e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634261e+00,4.982268e+00,2.112348e-04,9.968623e+00
2.272727e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634826e+00,4.981951e+00,2.431358e-04,9.968955e+00
2.575758e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635515e+00,4.981710e+00,2.689980e-04,9.969431e+00
2.878788e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636299e+00,4.981613e+00,2.846125e-04,9.970062e+00
3.181818e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637112e+00,4.981731e+00,2.856247e-04,9.970825e+00
3.484848e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637853e+00,4.982114e+00,2.687312e-04,9.971658e+00
3.787879e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.638397e+00,4.982772e+00,2.331429e-04,9.972458e+00
4.090909e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.638623e+00,4.983647e+00,1.816729e-04,9.973091e+00
4.393939e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.638456e+00,4.984623e+00,1.205910e-04,9.973434e+00
4.696970e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.637887e+00,4.985559e+00,5.794326e-05,9.973409e+00
5.000000e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.636975e+00,4.986336e+00,1.150238e-06,9.973008e+00
5.303030e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.635824e+00,4.986883e+00,-4.474822e-05,9.972284e+00
5.606061e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.634550e+00,4.987185e+00,-7.760863e-05,9.971332e+00
5.909091e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.633254e+00,4.987267e+00,-9.770883e-05,9.970251e+00
6.212121e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.632014e+00,4.987177e+00,-1.068637e-04,9.969132e+00
6.515152e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.630879e+00,4.986968e+00,-1.075596e-04,9.968045e+00
6.818182e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.629875e+00,4.986688e+00,-1.023240e-04,9.967035e+00
7.121212e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.629008e+00,4.986375e+00,-9.336451e-05,9.966128e+00
7.424242e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.628276e+00,4.986056e+00,-8.241570e-05,9.965335e+00
7.727273e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627667e+00,4.985748e+00,-7.072837e-05,9.964654e+00
8.030303e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.627170e+00,4.985462e+00,-5.912366e-05,9.964080e+00
8.333333e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626771e+00,4.985200e+00,-4.808194e-05,9.963603e+00
8.636364e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626457e+00,4.984964e+00,-3.782510e-05,9.963213e+00
8.939394e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626218e+00,4.984749e+00,-2.839106e-05,9.962899e+00
9.242424e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.626047e+00,4.984553e+00,-1.969595e-05,9.962653e+00
9.545455e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.625936e+00,4.984370e+00,-1.157677e-05,9.962465e+00
9.848485e+02,7.575758e+01,0.000000e+00,9.852941e+00,9.852941e+00,8.625895e+00,4.984195e+00,-3.818442e-06,9.962342e+00
1.515152e+01,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.632723e+00,4.983956e+00,1.785175e-05,9.968136e+00
4.545455e+01,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.632744e+00,4.983640e+00,5.423510e-05,9.967995e+00
7.575758e+01,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.632805e+00,4.983292e+00,9.258270e-05,9.967875e+00
1.060606e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.632918e+00,4.982897e+00,1.339531e-04,9.967775e+00
1.363636e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.633106e+00,4.982443e+00,1.789615e-04,9.967711e+00
1.666667e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.633402e+00,4.981931e+00,2.274539e-04,9.967711e+00
1.969697e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.633843e+00,4.981380e+00,2.780960e-04,9.967817e+00
2.272727e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.634463e+00,4.980837e+00,3.278854e-04,9.968084e+00
2.575758e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.635284e+00,4.980383e+00,3.717634e-04,9.968567e+00
2.878788e+02,1.060606e+02,0.000000e+00,9.852941e+00,9.852941e+00,8.636288e+00,4.980132e+00,4.026301e-04,9.969312e+00
