x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.049527e+01,8.994287e-14,-4.839237e-02,1.049538e+01
4.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.054322e+01,-7.422803e-13,-4.652693e-02,1.054332e+01
7.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.063835e+01,4.011014e-13,-4.496427e-02,1.063844e+01
1.050000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.073213e+01,-1.444060e-12,-4.384908e-02,1.073222e+01
1.350000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.082507e+01,5.646446e-13,-4.327085e-02,1.082516e+01
1.650000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.091772e+01,-1.602984e-12,-4.327085e-02,1.091781e+01
1.950000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.101066e+01,5.208278e-13,-4.384908e-02,1.101075e+01
2.250000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.110445e+01,-1.163040e-12,-4.496427e-02,1.110454e+01
2.550000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.119957e+01,2.727300e-13,-4.652693e-02,1.119967e+01
2.850000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.124752e+01,-2.621903e-13,-4.839237e-02,1.124763e+01
1.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.049527e+01,-6.628772e-14,-4.839237e-02,1.049538e+01
4.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.054322e+01,-1.912544e-13,-4.652693e-02,1.054332e+01
7.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.063835e+01,-2.944608e-13,-4.496427e-02,1.063844e+01
1.050000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.073213e+01,-3.681796e-13,-4.384908e-02,1.073222e+01
1.350000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.082507e+01,-4.016935e-13,-4.327085e-02,1.082516e+01
1.650000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.091772e+01,-4.018119e-13,-4.327085e-02,1.091781e+01
1.950000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.101066e+01,-3.585872e-13,-4.384908e-02,1.101075e+01
2.250000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.110445e+01,-2.868816e-13,-4.496427e-02,1.110454e+01
2.550000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.119957e+01,-1.831424e-13,-4.652693e-02,1.119967e+01
2.850000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.124752e+01,-6.362318e-14,-4.839237e-02,1.124763e+01
1.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.049527e+01,-3.705184e-14,-4.839237e-02,1.049538e+01
4.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.054322e+01,-1.029103e-13,-4.652693e-02,1.054332e+01
7.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.063835e+01,-1.632472e-13,-4.496427e-02,1.063844e+01
1.050000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.073213e+01,-1.904255e-13,-4.384908e-02,1.073222e+01
1.350000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.082507e+01,-2.155313e-13,-4.327085e-02,1.082516e+01
1.650000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.091772e+01,-1.964651e-13,-4.327085e-02,1.091781e+01
1.950000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.101066e+01,-1.849780e-13,-4.384908e-02,1.101075e+01
2.250000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.110445e+01,-1.339965e-13,-4.496427e-02,1.110454e+01
2.550000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.119957e+01,-9.160080e-14,-4.652693e-02,1.119967e+01
2.850000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.124752e+01,-2.845132e-14,-4.839237e-02,1.124763e+01
1.500000e+01,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.049527e+01,-1.721586e-14,-4.839237e-02,1.049538e+01
4.500000e+01,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.054322e+01,-5.275780e-14,-4.652693e-02,1.054332e+01
7.500000e+01,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.063835e+01,-7.164639e-14,-4.496427e-02,1.063844e+01
1.050000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.073213e+01,-9.189686e-14,-4.384908e-02,1.073222e+01
1.350000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.082507e+01,-8.135714e-14,-4.327085e-02,1.082516e+01
1.650000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.091772e+01,-8.526513e-14,-4.327085e-02,1.091781e+01
1.950000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.101066e+01,-5.672500e-14,-4.384908e-02,1.101075e+01
2.250000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.110445e+01,-5.145514e-14,-4.496427e-02,1.110454e+01
2.550000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.119957e+01,-2.315185e-14,-4.652693e-02,1.119967e+01
2.850000e+02,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.124752e+01,-9.725554e-15,-4.839237e-02,1.124763e+01
1.500000e+01,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.049527e+01,-8.556119e-15,-4.839237e-02,1.049538e+01
4.500000e+01,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.054322e+01,-2.321106e-14,-4.652693e-02,1.054332e+01
7.500000e+01,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.063835e+01,-3.197442e-14,-4.496427e-02,1.063844e+01
1.050000e+02,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.073213e+01,-3.043491e-14,-4.384908e-02,1.073222e+01
1.350000e+02,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.082507e+01,-2.735590e-14,-4.327085e-02,1.082516e+01
1.650000e+02,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.091772e+01,-1.160553e-14,-4.327085e-02,1.091781e+01
1.950000e+02,1.350000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.101066e+01,-7.934394e-15,-4.384908e-02,1.101075e+01
