x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.869111e+00,-1.494391e-01,5.239576e-02,9.870382e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,1.013388e+01,-3.233276e-01,1.122411e-01,1.013966e+01
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.001033e+01,-1.320800e-01,6.581117e-02,1.001142e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,9.887288e+00,-1.349905e-01,6.032902e-02,9.888394e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,9.778469e+00,-1.054898e-01,4.215000e-02,9.779128e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,9.746018e+00,-1.182826e-01,4.193791e-02,9.746826e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,9.891368e+00,-1.678127e-01,5.291603e-02,9.892933e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.001814e+01,-7.762519e-02,4.226520e-02,1.001853e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,1.060950e+01,2.505773e-01,-6.923166e-02,1.061269e+01
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,1.036355e+01,1.301285e-01,-4.078397e-02,1.036445e+01
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.628302e+00,-3.418986e-01,1.185622e-01,9.635099e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.009327e+01,-8.569446e-01,2.589997e-01,1.013289e+01
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.531657e+00,-1.291214e-02,7.538085e-02,9.531964e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.621004e+00,-8.945812e-02,1.033748e-01,8.622088e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,7.644841e+00,-1.000010e-01,7.720488e-02,7.645885e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,7.601071e+00,-6.398439e-02,9.825682e-02,7.601976e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.560498e+00,3.487263e-02,1.761382e-01,8.562381e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.418005e+00,-8.760844e-02,1.209906e-01,9.419190e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.070584e+01,7.788296e-01,-2.031270e-01,1.073606e+01
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,1.017618e+01,3.158173e-01,-1.051334e-01,1.018163e+01
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.957696e+00,1.958120e-01,2.928293e-01,8.964620e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,1.043117e+01,4.072596e-01,7.562899e-01,1.046648e+01
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.727902e+00,-4.618872e-02,-1.804808e-01,7.730147e+00
