x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,8.517499e+01,8.467751e+01,1.167343e+01,-3.692213e-02,4.861350e-02,1.167358e+01
4.500000e+01,1.500000e+01,1.002034e+00,8.517499e+01,8.417296e+01,1.173597e+01,-8.998481e-02,1.251541e-01,1.173698e+01
7.500000e+01,1.500000e+01,1.998629e+00,8.517499e+01,8.317636e+01,1.188035e+01,-1.118435e-01,1.553876e-01,1.188190e+01
1.050000e+02,1.500000e+01,3.165699e+00,8.517499e+01,8.200929e+01,1.202450e+01,-9.181301e-02,1.248354e-01,1.202550e+01
1.350000e+02,1.500000e+01,3.983682e+00,8.517499e+01,8.119131e+01,1.211313e+01,-3.561433e-02,4.768783e-02,1.211328e+01
1.650000e+02,1.500000e+01,3.983682e+00,8.517499e+01,8.119131e+01,1.211313e+01,3.561433e-02,-4.768783e-02,1.211328e+01
1.950000e+02,1.500000e+01,3.165699e+00,8.517499e+01,8.200929e+01,1.202450e+01,9.181301e-02,-1.248354e-01,1.202550e+01
2.250000e+02,1.500000e+01,1.998629e+00,8.517499e+01,8.317636e+01,1.188035e+01,1.118435e-01,-1.553876e-01,1.188190e+01
2.550000e+02,1.500000e+01,1.002034e+00,8.517499e+01,8.417296e+01,1.173597e+01,8.998481e-02,-1.251541e-01,1.173698e+01
2.850000e+02,1.500000e+01,4.974861e-01,8.517499e+01,8.467751e+01,1.167343e+01,3.692213e-02,-4.861350e-02,1.167358e+01
1.500000e+01,4.500000e+01,9.549815e-01,8.517499e+01,8.422001e+01,1.161225e+01,-5.039918e-02,6.871007e-02,1.161256e+01
4.500000e+01,4.500000e+01,2.450350e+00,8.517499e+01,8.272464e+01,1.167251e+01,-1.231632e-01,1.747201e-01,1.167446e+01
7.500000e+01,4.500000e+01,4.960403e+00,8.517499e+01,8.021459e+01,1.182512e+01,-1.533803e-01,2.159831e-01,1.182809e+01
