x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,1.909429e+00,-3.890274e-02,1.718261e-02,1.909902e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,1.937752e+00,-6.637510e-02,4.571659e-02,1.939427e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.976725e+00,-1.003045e-01,5.954333e-02,1.980164e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,2.022684e+00,-5.699946e-02,5.150264e-02,2.024142e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,2.055646e+00,-7.345900e-03,3.149401e-02,2.055900e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,2.078764e+00,5.371851e-02,3.477894e-03,2.079460e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,2.078458e+00,9.332777e-02,-1.797348e-02,2.080630e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,2.050485e+00,1.089500e-01,-2.519678e-02,2.053532e+00
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,2.003497e+00,8.899608e-02,-1.757596e-02,2.005550e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,2.000390e+00,2.403009e-02,-8.522496e-03,2.000552e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,1.868572e+00,-5.018252e-02,3.369211e-02,1.869550e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.833667e+00,-1.445941e-01,7.596027e-02,1.840927e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.855066e+00,-2.052741e-01,9.830385e-02,1.868976e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.802893e+00,-1.520687e-01,5.357057e-02,1.810088e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,1.675576e+00,-1.425171e-01,5.407976e-03,1.681635e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,1.711218e+00,-1.058753e-01,-5.257832e-02,1.715296e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.879745e+00,-2.595580e-02,-8.243074e-02,1.881731e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.946373e+00,1.269907e-01,-8.523163e-02,1.952373e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.941678e+00,9.781852e-02,-5.186432e-02,1.944832e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,1.922039e+00,4.422802e-02,-1.798752e-02,1.922632e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,1.729192e+00,-9.549220e-02,6.371830e-02,1.732998e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,1.634494e+00,-2.178121e-01,1.523835e-01,1.655969e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,1.451280e+00,-1.790595e-01,2.101008e-01,1.477301e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,1.662581e+00,-8.100251e-04,-2.510399e-01,1.681427e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,1.773707e+00,1.589484e-01,-1.447893e-01,1.786691e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,1.795630e+00,5.315502e-02,-4.743698e-02,1.797043e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,1.576436e+00,-9.990937e-02,1.107489e-01,1.583476e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,1.466614e+00,-1.787682e-01,2.599806e-01,1.500168e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,1.706241e+00,1.136535e-01,-2.964873e-01,1.735535e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,1.611520e+00,5.662507e-02,-9.675839e-02,1.615415e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,1.537220e+00,-5.353904e-02,1.552658e-01,1.545969e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,1.170188e+00,-6.750376e-02,2.601714e-01,1.200660e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,1.487047e+00,2.827799e-02,-3.174770e-01,1.520822e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,1.560423e+00,3.037866e-02,-1.406990e-01,1.567047e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,1.530648e+00,2.959507e-02,1.635708e-01,1.539647e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,1.107674e+00,2.890067e-02,2.595093e-01,1.138034e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,1.434039e+00,-7.095203e-03,-3.189343e-01,1.469094e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,1.553115e+00,-1.639911e-02,-1.487138e-01,1.560305e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,1.547071e+00,8.811595e-02,1.228329e-01,1.554439e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,1.377902e+00,1.350477e-01,2.650996e-01,1.409656e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,1.638849e+00,-8.085195e-02,-3.057287e-01,1.669081e+00
2.850000e+02,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,1.581159e+00,-5.058949e-02,-1.079312e-01,1.585646e+00
1.500000e+01,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,1.656450e+00,9.432109e-02,7.774823e-02,1.660954e+00
4.500000e+01,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,1.559360e+00,2.011495e-01,1.977016e-01,1.584661e+00
7.500000e+01,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,1.041080e+00,1.498667e-01,2.240674e-01,1.075413e+00
1.050000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,1.289528e+00,3.854399e-02,-2.676742e-01,1.317580e+00
2.550000e+02,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,1.717358e+00,-1.449022e-01,-1.895191e-01,1.733849e+00
2.850000e+02,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,1.726197e+00,-5.282749e-02,-5.951829e-02,1.728030e+00
1.500000e+01,2.550000e+02,1.184203e+00,1.245987e+01,1.127567e+01,1.813592e+00,5.476325e-02,4.324904e-02,1.814934e+00
4.500000e+01,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,1.755411e+00,1.629538e-01,1.025813e-01,1.765940e+00
7.500000e+01,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,1.707687e+00,2.081762e-01,1.510471e-01,1.726948e+00
1.050000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,1.593713e+00,1.643303e-01,2.075396e-01,1.615549e+00
1.350000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,5.547006e-01,1.656888e-01,1.204587e-01,5.913170e-01
1.650000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,5.995010e-01,1.325596e-01,-1.725215e-01,6.377595e-01
1.950000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,1.690396e+00,4.768706e-02,-2.387656e-01,1.707841e+00
2.250000e+02,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,1.817491e+00,-1.161798e-01,-1.370418e-01,1.826349e+00
2.550000e+02,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,1.878214e+00,-1.104286e-01,-7.542476e-02,1.882969e+00
2.850000e+02,2.550000e+02,1.184203e+00,1.245987e+01,1.127567e+01,1.865675e+00,-4.837794e-02,-2.500093e-02,1.866469e+00
1.500000e+01,2.850000e+02,4.974861e-01,1.245987e+01,1.196238e+01,1.867820e+00,4.448656e-02,2.327655e-02,1.868494e+00
4.500000e+01,2.850000e+02,1.276480e+00,1.245987e+01,1.118339e+01,1.893028e+00,7.842300e-02,6.264383e-02,1.895687e+00
7.500000e+01,2.850000e+02,2.584062e+00,1.245987e+01,9.875806e+00,1.925042e+00,1.333029e-01,8.906664e-02,1.931707e+00
1.050000e+02,2.850000e+02,4.132097e+00,1.245987e+01,8.327771e+00,1.997580e+00,1.758566e-01,9.929344e-02,2.007762e+00
1.350000e+02,2.850000e+02,5.223987e+00,1.245987e+01,7.235881e+00,2.087263e+00,1.017523e-01,6.125285e-02,2.090640e+00
1.650000e+02,2.850000e+02,5.223987e+00,1.245987e+01,7.235881e+00,2.114650e+00,-1.443635e-01,-2.338663e-02,2.119701e+00
1.950000e+02,2.850000e+02,4.132097e+00,1.245987e+01,8.327771e+00,2.062353e+00,-2.089749e-01,-6.257799e-02,2.073858e+00
