x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.929884e-01,6.288130e+00,5.795141e+00,6.610083e+00,-2.935628e-01,1.741533e-01,6.618890e+00
4.500000e+01,1.500000e+01,9.933353e-01,6.288130e+00,5.294794e+00,6.605183e+00,-5.923651e-01,4.350778e-01,6.645948e+00
7.500000e+01,1.500000e+01,2.012944e+00,6.288130e+00,4.275185e+00,6.607323e+00,-7.047447e-01,6.911590e-01,6.680650e+00
1.050000e+02,1.500000e+01,3.539842e+00,6.288130e+00,2.748288e+00,6.247196e+00,2.765692e-01,9.157161e-01,6.320006e+00
1.350000e+02,1.500000e+01,5.708351e+00,6.288130e+00,5.797786e-01,4.265737e+00,6.551927e-01,1.069823e+00,4.446381e+00
1.650000e+02,1.500000e+01,8.682330e+00,6.288130e+00,-2.394201e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.500000e+01,1.265928e+01,6.288130e+00,-6.371152e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.500000e+01,1.783352e+01,6.288130e+00,-1.154539e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.500000e+01,2.434450e+01,6.288130e+00,-1.805637e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.850000e+02,1.500000e+01,3.241115e+01,6.288130e+00,-2.612302e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e+01,4.500000e+01,9.271270e-01,6.288130e+00,5.361003e+00,6.145530e+00,-4.518446e-01,3.403996e-01,6.171513e+00
4.500000e+01,4.500000e+01,2.368814e+00,6.288130e+00,3.919316e+00,5.761856e+00,-6.632453e-01,7.562978e-01,5.849005e+00
7.500000e+01,4.500000e+01,4.830933e+00,6.288130e+00,1.457197e+00,4.803362e+00,-2.017792e-01,1.097706e+00,4.931325e+00
1.050000e+02,4.500000e+01,8.449172e+00,6.288130e+00,-2.161043e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,4.500000e+01,1.342142e+01,6.288130e+00,-7.133292e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,4.500000e+01,2.001431e+01,6.288130e+00,-1.372618e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,4.500000e+01,2.827769e+01,6.288130e+00,-2.198956e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,4.500000e+01,3.796442e+01,6.288130e+00,-3.167629e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,4.500000e+01,4.867176e+01,6.288130e+00,-4.238363e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.850000e+02,4.500000e+01,5.977957e+01,6.288130e+00,-5.349145e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e+01,7.500000e+01,1.929650e+00,6.288130e+00,4.358480e+00,5.582052e+00,-7.219932e-01,7.462147e-01,5.677800e+00
4.500000e+01,7.500000e+01,4.886290e+00,6.288130e+00,1.401840e+00,4.084478e+00,-2.101413e-01,1.082619e+00,4.230743e+00
7.500000e+01,7.500000e+01,9.901130e+00,6.288130e+00,-3.613001e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,7.500000e+01,1.705037e+01,6.288130e+00,-1.076224e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.636090e+01,6.288130e+00,-2.007277e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,3.783543e+01,6.288130e+00,-3.154730e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,5.092649e+01,6.288130e+00,-4.463836e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,6.443849e+01,6.288130e+00,-5.815037e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,7.500000e+01,7.688689e+01,6.288130e+00,-7.059876e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.850000e+02,7.500000e+01,8.661789e+01,6.288130e+00,-8.032976e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.500000e+01,1.050000e+02,3.428213e+00,6.288130e+00,2.859917e+00,5.842137e+00,-2.517257e-01,1.373183e+00,6.006626e+00
4.500000e+01,1.050000e+02,8.571850e+00,6.288130e+00,-2.283720e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,1.050000e+02,1.713578e+01,6.288130e+00,-1.084765e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
