x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.366797e+01,-3.241904e-02,2.186857e-01,1.366975e+01
4.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.365817e+01,-4.970705e-02,3.247156e-01,1.366212e+01
7.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.331192e+01,-3.723002e-02,3.695830e-01,1.331710e+01
1.050000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.289093e+01,-3.048722e-02,5.401153e-01,1.290227e+01
1.350000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.221314e+01,-3.605644e-02,8.819980e-01,1.224500e+01
1.650000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.077112e+01,-4.177876e-02,1.609545e+00,1.089079e+01
1.950000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.665475e+00,-1.258350e-02,1.596789e+00,9.796494e+00
2.250000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.213721e+00,2.047573e-02,8.284809e-01,8.255424e+00
2.550000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.572841e+00,1.877231e-02,4.140325e-01,7.584174e+00
2.850000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.356438e+00,6.610960e-03,1.269537e-01,7.357537e+00
1.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.365068e+01,-6.109741e-02,1.960733e-01,1.365222e+01
4.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.365576e+01,-7.663054e-02,2.990905e-01,1.365925e+01
7.500000e+01,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.332153e+01,-4.658058e-02,3.567883e-01,1.332639e+01
1.050000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.289151e+01,-3.519833e-02,5.313623e-01,1.290251e+01
1.350000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.220750e+01,-4.768847e-02,8.693587e-01,1.223851e+01
1.650000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.078285e+01,-7.052034e-02,1.590332e+00,1.089973e+01
1.950000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.696602e+00,-1.963014e-02,1.594435e+00,9.826836e+00
2.250000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.229399e+00,4.024402e-02,8.441827e-01,8.272683e+00
2.550000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.565908e+00,2.837623e-02,4.240549e-01,7.577836e+00
2.850000e+02,4.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.344277e+00,8.951962e-03,1.299432e-01,7.345432e+00
1.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.380717e+01,-6.096505e-02,8.559618e-02,1.380757e+01
4.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.367268e+01,-7.341957e-02,2.087105e-01,1.367447e+01
7.500000e+01,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.335335e+01,-3.644624e-02,3.307187e-01,1.335749e+01
1.050000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.288982e+01,-1.951721e-02,5.165884e-01,1.290018e+01
1.350000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.217782e+01,-4.536747e-02,8.387189e-01,1.220675e+01
1.650000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,1.079917e+01,-1.461677e-01,1.514134e+00,1.090578e+01
1.950000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,9.776239e+00,-3.732478e-02,1.587534e+00,9.904368e+00
2.250000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.261728e+00,1.000661e-01,9.123329e-01,8.312551e+00
2.550000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.541549e+00,3.567886e-02,4.525204e-01,7.555197e+00
2.850000e+02,7.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,7.317590e+00,8.168125e-03,1.367737e-01,7.318872e+00
1.500000e+01,1.050000e+02,0.000000e+00,1.500000e+01,1.500000e+01,1.379604e+01,-1.832037e-02,6.237191e-02,1.379620e+01
