x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+01,2.500000e+01,2.465374e+00,1.685993e+01,1.439456e+01,1.003779e+01,-6.510283e-01,7.441108e-01,1.008637e+01
7.500000e+01,2.500000e+01,1.168199e+01,1.685993e+01,5.177945e+00,9.135135e+00,9.095323e-01,1.397949e+00,9.286129e+00
1.250000e+02,2.500000e+01,2.253519e+01,1.685993e+01,-5.675257e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,2.500000e+01,2.957516e+01,1.685993e+01,-1.271523e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,2.500000e+01,3.302760e+01,1.685993e+01,-1.616767e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,2.500000e+01,3.408837e+01,1.685993e+01,-1.722844e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,2.500000e+01,3.385122e+01,1.685993e+01,-1.699128e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+02,2.500000e+01,3.321298e+01,1.685993e+01,-1.635305e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+01,7.500000e+01,1.342278e+01,1.685993e+01,3.437149e+00,8.641810e+00,3.025537e-01,1.300239e+00,8.744315e+00
7.500000e+01,7.500000e+01,2.259849e+01,1.685993e+01,-5.738553e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,7.500000e+01,3.086905e+01,1.685993e+01,-1.400911e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,7.500000e+01,3.577594e+01,1.685993e+01,-1.891600e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,3.765347e+01,1.685993e+01,-2.079354e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,7.500000e+01,3.697562e+01,1.685993e+01,-2.011568e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,7.500000e+01,3.505401e+01,1.685993e+01,-1.819408e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+02,7.500000e+01,3.333701e+01,1.685993e+01,-1.647708e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+01,1.250000e+02,2.780612e+01,1.685993e+01,-1.094619e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,1.250000e+02,3.429260e+01,1.685993e+01,-1.743267e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,1.250000e+02,3.824627e+01,1.685993e+01,-2.138634e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,1.250000e+02,4.193333e+01,1.685993e+01,-2.507340e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.250000e+02,4.288446e+01,1.685993e+01,-2.602453e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,1.250000e+02,3.988506e+01,1.685993e+01,-2.302513e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,1.250000e+02,3.538072e+01,1.685993e+01,-1.852079e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+02,1.250000e+02,3.234036e+01,1.685993e+01,-1.548042e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+01,1.750000e+02,3.553922e+01,1.685993e+01,-1.867928e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,1.750000e+02,3.935208e+01,1.685993e+01,-2.249215e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,1.750000e+02,4.060718e+01,1.685993e+01,-2.374725e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,1.750000e+02,4.718170e+01,1.685993e+01,-3.032177e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.750000e+02,4.793478e+01,1.685993e+01,-3.107485e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,1.750000e+02,4.231278e+01,1.685993e+01,-2.545284e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,1.750000e+02,3.485409e+01,1.685993e+01,-1.799416e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.750000e+02,1.750000e+02,3.070035e+01,1.685993e+01,-1.384042e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
