x,y,z_terrain,z_physical,z_agl,u,v,w,speed
5.000000e+00,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.338700e+00,-1.550918e-02,3.936757e-03,8.338716e+00
1.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.358632e+00,-4.690624e-02,1.091724e-02,8.358770e+00
2.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.411211e+00,-7.524223e-02,1.505361e-02,8.411561e+00
3.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.481187e+00,-8.443001e-02,1.437997e-02,8.481619e+00
4.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.540281e+00,-4.925854e-02,8.399193e-03,8.540427e+00
5.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.561354e+00,1.360286e-03,-2.093861e-05,8.561354e+00
6.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.545584e+00,3.500647e-02,-7.389933e-03,8.545659e+00
7.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.521461e+00,2.486714e-02,-1.094655e-02,8.521504e+00
8.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.515449e+00,5.684312e-04,-1.130003e-02,8.515457e+00
9.500000e+01,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.529266e+00,-1.564896e-02,-1.033649e-02,8.529286e+00
1.050000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.550582e+00,-1.559789e-02,-9.478192e-03,8.550602e+00
1.150000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.565044e+00,-2.264281e-03,-9.294187e-03,8.565050e+00
1.250000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.563295e+00,1.745426e-02,-9.709692e-03,8.563318e+00
1.350000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.542795e+00,3.636153e-02,-1.032197e-02,8.542879e+00
1.450000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.507443e+00,4.811693e-02,-1.065417e-02,8.507586e+00
1.550000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.465720e+00,4.928269e-02,-1.032762e-02,8.465869e+00
1.650000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.426449e+00,4.225326e-02,-9.155871e-03,8.426560e+00
1.750000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.395216e+00,3.108416e-02,-7.171853e-03,8.395277e+00
1.850000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.374242e+00,1.865018e-02,-4.558752e-03,8.374264e+00
1.950000e+02,5.000000e+00,0.000000e+00,1.500000e+01,1.500000e+01,8.366427e+00,6.180991e-03,-1.562042e-03,8.366430e+00
5.000000e+00,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.307303e+00,-2.355803e-02,5.244298e-03,8.307338e+00
1.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.328765e+00,-7.341082e-02,1.481811e-02,8.329102e+00
2.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.392449e+00,-1.250220e-01,2.104669e-02,8.393407e+00
3.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.494179e+00,-1.517860e-01,2.042713e-02,8.495559e+00
4.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.583176e+00,-8.284683e-02,1.105819e-02,8.583583e+00
5.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.603486e+00,1.134193e-02,-1.538496e-03,8.603494e+00
6.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.557337e+00,7.695152e-02,-1.237839e-02,8.557692e+00
7.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.504242e+00,4.659980e-02,-1.613218e-02,8.504385e+00
8.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.495191e+00,-1.882003e-03,-1.496393e-02,8.495205e+00
9.500000e+01,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.521182e+00,-3.099622e-02,-1.245776e-02,8.521248e+00
1.050000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.557275e+00,-2.976771e-02,-1.061343e-02,8.557333e+00
1.150000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.581570e+00,-6.406666e-03,-9.995575e-03,8.581578e+00
1.250000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.582608e+00,2.681824e-02,-1.034154e-02,8.582656e+00
1.350000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.558127e+00,5.845027e-02,-1.105801e-02,8.558333e+00
1.450000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.513904e+00,7.788850e-02,-1.153175e-02,8.514268e+00
1.550000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.462788e+00,7.846106e-02,-1.129751e-02,8.463159e+00
1.650000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.417350e+00,6.584017e-02,-1.008126e-02,8.417613e+00
1.750000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.383415e+00,4.755418e-02,-7.914603e-03,8.383553e+00
1.850000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.361791e+00,2.817337e-02,-5.030536e-03,8.361840e+00
1.950000e+02,1.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.353958e+00,9.278194e-03,-1.722772e-03,8.353963e+00
5.000000e+00,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.238995e+00,-3.817563e-02,7.908053e-03,8.239087e+00
1.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.257168e+00,-1.267169e-01,2.302941e-02,8.258172e+00
2.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.332836e+00,-2.467507e-01,3.435077e-02,8.336559e+00
3.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.523362e+00,-3.692394e-01,3.431923e-02,8.531425e+00
4.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.703409e+00,-1.708164e-01,1.658955e-02,8.705101e+00
5.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.721152e+00,5.382437e-02,-4.830599e-03,8.721319e+00
6.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.580842e+00,2.432851e-01,-2.418361e-02,8.584324e+00
7.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.442627e+00,1.072291e-01,-2.784072e-02,8.443354e+00
8.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.437853e+00,-1.904471e-02,-2.273037e-02,8.437905e+00
9.500000e+01,2.500000e+01,0.000000e+00,1.500000e+01,1.500000e+01,8.501380e+00,-8.267354e-02,-1.678701e-02,8.501798e+00
