x,y,z_terrain,z_physical,z_agl,u,v,w,speed
5.000000e+00,5.000000e+00,1.649054e-01,1.507969e+01,1.491478e+01,9.838419e+00,-7.246241e-02,2.855676e-02,9.838728e+00
1.500000e+01,5.000000e+00,3.725595e-01,1.507969e+01,1.470713e+01,9.915338e+00,-2.202243e-01,6.828846e-02,9.918018e+00
2.500000e+01,5.000000e+00,3.767038e-01,1.507969e+01,1.470298e+01,1.015125e+01,-3.262192e-01,9.353707e-02,1.015692e+01
3.500000e+01,5.000000e+00,4.143069e-01,1.507969e+01,1.466538e+01,1.039591e+01,-2.506646e-01,1.100859e-01,1.039951e+01
4.500000e+01,5.000000e+00,7.415839e-01,1.507969e+01,1.433810e+01,1.052787e+01,-1.294443e-01,1.184498e-01,1.052933e+01
5.500000e+01,5.000000e+00,8.771108e-01,1.507969e+01,1.420258e+01,1.055737e+01,-3.826321e-03,1.228319e-01,1.055808e+01
6.500000e+01,5.000000e+00,9.402294e-01,1.507969e+01,1.413946e+01,1.050079e+01,8.083676e-02,1.425625e-01,1.050207e+01
7.500000e+01,5.000000e+00,1.472957e+00,1.507969e+01,1.360673e+01,1.041281e+01,-6.357643e-03,1.686545e-01,1.041418e+01
8.500000e+01,5.000000e+00,1.609874e+00,1.507969e+01,1.346981e+01,1.044743e+01,-1.076981e-01,1.895406e-01,1.044970e+01
9.500000e+01,5.000000e+00,1.684600e+00,1.507969e+01,1.339509e+01,1.057757e+01,-1.724960e-01,2.152366e-01,1.058116e+01
1.050000e+02,5.000000e+00,2.326705e+00,1.507969e+01,1.275298e+01,1.068170e+01,-1.517699e-01,1.842132e-01,1.068437e+01
1.150000e+02,5.000000e+00,2.328143e+00,1.507969e+01,1.275154e+01,1.080808e+01,-1.200949e-01,1.333931e-01,1.080957e+01
1.250000e+02,5.000000e+00,2.380850e+00,1.507969e+01,1.269884e+01,1.089689e+01,-7.469481e-02,1.025051e-01,1.089763e+01
1.350000e+02,5.000000e+00,2.923965e+00,1.507969e+01,1.215572e+01,1.091589e+01,-5.634696e-02,5.848495e-02,1.091620e+01
1.450000e+02,5.000000e+00,2.652375e+00,1.507969e+01,1.242731e+01,1.098910e+01,-3.096919e-02,5.264439e-03,1.098915e+01
1.550000e+02,5.000000e+00,2.652375e+00,1.507969e+01,1.242731e+01,1.100114e+01,2.467509e-02,-3.296213e-02,1.100121e+01
1.650000e+02,5.000000e+00,2.923965e+00,1.507969e+01,1.215572e+01,1.095180e+01,5.160333e-02,-8.803639e-02,1.095228e+01
1.750000e+02,5.000000e+00,2.380850e+00,1.507969e+01,1.269884e+01,1.095562e+01,7.402741e-02,-1.358519e-01,1.095671e+01
1.850000e+02,5.000000e+00,2.328143e+00,1.507969e+01,1.275154e+01,1.088618e+01,1.283089e-01,-1.725951e-01,1.088831e+01
1.950000e+02,5.000000e+00,2.326705e+00,1.507969e+01,1.275298e+01,1.077020e+01,1.779059e-01,-2.313185e-01,1.077415e+01
2.050000e+02,5.000000e+00,1.684600e+00,1.507969e+01,1.339509e+01,1.065639e+01,2.324275e-01,-2.717940e-01,1.066239e+01
2.150000e+02,5.000000e+00,1.609874e+00,1.507969e+01,1.346981e+01,1.047749e+01,2.255148e-01,-2.554677e-01,1.048303e+01
