x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.766810e+00,-1.421955e-01,5.426175e-02,9.767996e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.846270e+00,-3.568776e-01,1.350363e-01,9.853661e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006224e+01,-4.864315e-01,1.803485e-01,1.007560e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.024799e+01,-3.267491e-01,1.414566e-01,1.025418e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.032825e+01,-1.256075e-01,5.531246e-02,1.032916e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.032825e+01,1.256075e-01,-5.531246e-02,1.032916e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.024799e+01,3.267491e-01,-1.414566e-01,1.025418e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006224e+01,4.864315e-01,-1.803485e-01,1.007560e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.846270e+00,3.568776e-01,-1.350363e-01,9.853661e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.766810e+00,1.421955e-01,-5.426175e-02,9.767996e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.495077e+00,-2.132251e-01,1.086956e-01,9.498093e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.479000e+00,-5.631122e-01,2.752758e-01,9.499701e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.609477e+00,-8.202291e-01,4.019682e-01,9.652793e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.461318e+00,-3.084802e-01,2.689257e-01,9.470165e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.957438e+00,-8.877954e-02,1.076401e-01,8.958525e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.957438e+00,8.877954e-02,-1.076401e-01,8.958525e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.461318e+00,3.084802e-01,-2.689257e-01,9.470165e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.609477e+00,8.202291e-01,-4.019682e-01,9.652793e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.479000e+00,5.631122e-01,-2.752758e-01,9.499701e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.495077e+00,2.132251e-01,-1.086956e-01,9.498093e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.878569e+00,-3.351031e-01,2.348597e-01,8.887994e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.630718e+00,-9.284994e-01,6.587612e-01,8.705479e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.366749e+00,-4.418132e-01,1.133409e+00,8.454721e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.366749e+00,4.418132e-01,-1.133409e+00,8.454721e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.630718e+00,9.284994e-01,-6.587612e-01,8.705479e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.878569e+00,3.351031e-01,-2.348597e-01,8.887994e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,8.001667e+00,-3.327917e-01,4.426350e-01,8.020807e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,8.244938e+00,-7.312527e-01,1.359618e+00,8.388223e+00
