x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,8.252958e+00,1.940781e+00,2.575190e-02,8.478125e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,8.309731e+00,1.789022e+00,7.993764e-02,8.500507e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,8.450876e+00,1.588614e+00,1.331900e-01,8.599927e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,8.622880e+00,1.498341e+00,1.525415e-01,8.753419e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,8.743480e+00,1.448288e+00,1.371935e-01,8.863679e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,8.790734e+00,1.373031e+00,1.044631e-01,8.897928e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,8.757475e+00,1.327056e+00,5.196923e-02,8.857604e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,8.580799e+00,1.436809e+00,-2.368384e-02,8.700293e+00
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,8.333330e+00,1.264867e+00,-3.123280e-02,8.428835e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,8.231601e+00,1.085480e+00,-1.214614e-02,8.302871e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,8.149651e+00,1.900271e+00,4.859414e-02,8.368405e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,8.199082e+00,1.640205e+00,1.689341e-01,8.363238e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,8.402649e+00,1.211762e+00,3.384097e-01,8.496317e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.682674e+00,1.616817e+00,4.027093e-01,8.841103e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.836489e+00,1.660840e+00,3.573214e-01,8.998312e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.896532e+00,1.623092e+00,2.929455e-01,9.048123e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.944002e+00,1.613243e+00,1.757508e-01,9.090029e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,8.666183e+00,1.844626e+00,-1.253024e-01,8.861211e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,8.216465e+00,1.490055e+00,-9.674356e-02,8.351043e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,8.081536e+00,1.189208e+00,-3.096066e-02,8.168623e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,7.855192e+00,1.837797e+00,1.110625e-01,8.068077e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,7.771287e+00,1.300427e+00,4.629069e-01,7.892927e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.622375e+00,1.669638e+00,1.274870e+00,8.874590e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.671061e+00,1.741583e+00,-8.038956e-01,8.880690e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,7.782967e+00,2.043197e+00,-3.576217e-01,8.054634e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,7.678667e+00,1.392693e+00,-8.970686e-02,7.804459e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,7.234299e+00,1.886672e+00,2.269073e-01,7.479712e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,8.207842e+00,1.468227e+00,1.211789e+00,8.425722e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.942075e+00,2.110936e+00,-1.178614e+00,8.301911e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,6.807164e+00,1.533916e+00,-2.159234e-01,6.981189e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,7.175787e+00,2.022889e+00,2.588417e-01,7.459959e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,8.315828e+00,1.976717e+00,1.319044e+00,8.648715e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,7.849002e+00,1.804667e+00,-1.299955e+00,8.158035e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,6.559027e+00,1.616005e+00,-2.528136e-01,6.759898e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,7.257076e+00,2.154858e+00,2.564699e-01,7.574586e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,8.401769e+00,2.285172e+00,1.313203e+00,8.805466e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,7.773409e+00,1.748278e+00,-1.306827e+00,8.074043e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,6.500413e+00,1.719559e+00,-2.552773e-01,6.728850e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,7.484042e+00,2.313306e+00,2.175044e-01,7.836426e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,8.482576e+00,2.842233e+00,1.180452e+00,9.023627e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
