x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.515152e+01,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999596e+00,-9.693224e-06,2.795401e-06,9.999596e+00
4.545455e+01,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999605e+00,-2.996901e-05,8.478767e-06,9.999605e+00
7.575758e+01,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999629e+00,-5.288296e-05,1.441937e-05,9.999629e+00
1.060606e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999669e+00,-8.004638e-05,2.071573e-05,9.999669e+00
1.363636e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999729e+00,-1.126742e-04,2.734174e-05,9.999729e+00
1.666667e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999814e+00,-1.510588e-04,3.407086e-05,9.999814e+00
1.969697e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999930e+00,-1.936786e-04,4.038648e-05,9.999930e+00
2.272727e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000008e+01,-2.359633e-04,4.540222e-05,1.000008e+01
2.575758e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000026e+01,-2.690872e-04,4.784715e-05,1.000026e+01
2.878788e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000046e+01,-2.798144e-04,4.621255e-05,1.000046e+01
3.181818e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000067e+01,-2.531792e-04,3.917091e-05,1.000067e+01
3.484848e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000083e+01,-1.795862e-04,2.628905e-05,1.000083e+01
3.787879e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000093e+01,-6.473868e-05,8.773596e-06,1.000093e+01
4.090909e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000093e+01,6.586688e-05,-1.040790e-05,1.000093e+01
4.393939e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000084e+01,1.781434e-04,-2.760016e-05,1.000084e+01
4.696970e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000067e+01,2.488139e-04,-4.007190e-05,1.000067e+01
5.000000e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000048e+01,2.738734e-04,-4.684673e-05,1.000048e+01
5.303030e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000028e+01,2.632236e-04,-4.846326e-05,1.000028e+01
5.606061e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000011e+01,2.313540e-04,-4.625363e-05,1.000011e+01
5.909091e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999962e+00,1.909519e-04,-4.169440e-05,9.999962e+00
6.212121e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999851e+00,1.505449e-04,-3.603249e-05,9.999851e+00
6.515152e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999768e+00,1.146886e-04,-3.015739e-05,9.999768e+00
6.818182e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999710e+00,8.510382e-05,-2.461795e-05,9.999710e+00
7.121212e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999670e+00,6.184723e-05,-1.969821e-05,9.999670e+00
7.424242e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999643e+00,4.417542e-05,-1.550146e-05,9.999643e+00
7.727273e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999627e+00,3.107553e-05,-1.202026e-05,9.999627e+00
8.030303e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999616e+00,2.154397e-05,-9.187247e-06,9.999616e+00
8.333333e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999611e+00,1.470621e-05,-6.908074e-06,9.999611e+00
8.636364e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999607e+00,9.849026e-06,-5.081178e-06,9.999607e+00
8.939394e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999606e+00,6.410573e-06,-3.608165e-06,9.999606e+00
9.242424e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999605e+00,3.953536e-06,-2.398184e-06,9.999605e+00
9.545455e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999605e+00,2.134229e-06,-1.368820e-06,9.999605e+00
9.848485e+02,1.515152e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999605e+00,6.729664e-07,-4.447495e-07,9.999605e+00
1.515152e+01,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999576e+00,-1.428123e-05,3.040969e-06,9.999576e+00
4.545455e+01,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999583e+00,-4.422439e-05,9.257476e-06,9.999583e+00
7.575758e+01,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999604e+00,-7.829149e-05,1.586059e-05,9.999604e+00
1.060606e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999639e+00,-1.191014e-04,2.304426e-05,9.999639e+00
1.363636e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999693e+00,-1.688163e-04,3.088390e-05,9.999693e+00
1.666667e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999774e+00,-2.283888e-04,3.924276e-05,9.999774e+00
1.969697e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999888e+00,-2.961776e-04,4.763629e-05,9.999888e+00
2.272727e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000004e+01,-3.658454e-04,5.506452e-05,1.000004e+01
2.575758e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000024e+01,-4.239359e-04,5.986803e-05,1.000024e+01
2.878788e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000047e+01,-4.486628e-04,5.975584e-05,1.000047e+01
3.181818e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000072e+01,-4.131718e-04,5.227054e-05,1.000072e+01
3.484848e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000093e+01,-2.973348e-04,3.596240e-05,1.000093e+01
3.787879e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000105e+01,-1.074986e-04,1.208880e-05,1.000105e+01
4.090909e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000105e+01,1.111001e-04,-1.454637e-05,1.000105e+01
4.393939e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000093e+01,2.956618e-04,-3.768985e-05,1.000093e+01
4.696970e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000072e+01,4.059373e-04,-5.315453e-05,1.000072e+01
5.000000e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000049e+01,4.387304e-04,-6.013323e-05,1.000049e+01
5.303030e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000026e+01,4.143210e-04,-6.017905e-05,1.000026e+01
5.606061e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,1.000007e+01,3.584304e-04,-5.566932e-05,1.000007e+01
5.909091e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999922e+00,2.918058e-04,-4.879029e-05,9.999922e+00
6.212121e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999812e+00,2.274121e-04,-4.114084e-05,9.999812e+00
6.515152e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999735e+00,1.715927e-04,-3.371552e-05,9.999735e+00
6.818182e+02,4.545455e+01,0.000000e+00,1.000000e+01,1.000000e+01,9.999683e+00,1.263247e-04,-2.703762e-05,9.999683e+00
