x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,4.368154e+00,1.058403e+00,4.447824e-02,4.494771e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,4.394690e+00,9.250283e-01,1.182702e-01,4.492546e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,4.477222e+00,7.907887e-01,1.844241e-01,4.550261e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,4.562152e+00,7.464984e-01,2.165266e-01,4.627891e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,4.624307e+00,7.739477e-01,1.997857e-01,4.692880e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,4.642667e+00,8.312207e-01,1.258265e-01,4.718169e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,4.582314e+00,8.412933e-01,3.767818e-02,4.659056e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,4.430184e+00,8.538068e-01,-2.460670e-02,4.511776e+00
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,4.243673e+00,7.539192e-01,-3.490947e-02,4.310264e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,4.165620e+00,6.122725e-01,-1.689369e-02,4.210410e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,4.222023e+00,1.008019e+00,7.787281e-02,4.341388e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,4.182462e+00,7.996765e-01,2.031463e-01,4.263067e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,4.170021e+00,6.071827e-01,3.273806e-01,4.226692e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,4.020731e+00,7.475037e-01,3.530235e-01,4.104834e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,3.667654e+00,6.896290e-01,2.698069e-01,3.741667e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,3.648508e+00,7.018328e-01,1.199658e-01,3.717334e+00
