x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.000000e+01,1.000000e+01,1.963636e-05,7.564329e+00,7.564310e+00,9.214503e+00,-6.685871e-02,1.347313e-02,9.214755e+00
3.000000e+01,1.000000e+01,9.045455e-05,7.564329e+00,7.564239e+00,9.290681e+00,-2.026575e-01,3.812055e-02,9.292969e+00
5.000000e+01,1.000000e+01,1.139136e-03,7.564329e+00,7.563190e+00,9.490428e+00,-3.169736e-01,5.297533e-02,9.495868e+00
7.000000e+01,1.000000e+01,5.736000e-03,7.564329e+00,7.558593e+00,9.732221e+00,-2.960212e-01,4.478656e-02,9.736825e+00
9.000000e+01,1.000000e+01,1.239709e-02,7.564329e+00,7.551932e+00,9.899219e+00,-1.224539e-01,1.836724e-02,9.899994e+00
1.100000e+02,1.000000e+01,1.239709e-02,7.564329e+00,7.551932e+00,9.899219e+00,1.224539e-01,-1.836725e-02,9.899994e+00
1.300000e+02,1.000000e+01,5.736000e-03,7.564329e+00,7.558593e+00,9.732221e+00,2.960212e-01,-4.478656e-02,9.736825e+00
1.500000e+02,1.000000e+01,1.139136e-03,7.564329e+00,7.563190e+00,9.490428e+00,3.169736e-01,-5.297533e-02,9.495868e+00
1.700000e+02,1.000000e+01,9.045455e-05,7.564329e+00,7.564239e+00,9.290681e+00,2.026575e-01,-3.812055e-02,9.292969e+00
1.900000e+02,1.000000e+01,1.963636e-05,7.564329e+00,7.564310e+00,9.214503e+00,6.685871e-02,-1.347313e-02,9.214755e+00
1.000000e+01,3.000000e+01,8.818182e-05,7.564329e+00,7.564241e+00,9.078688e+00,-1.051206e-01,2.284156e-02,9.079326e+00
3.000000e+01,3.000000e+01,2.977000e-03,7.564329e+00,7.561352e+00,9.164970e+00,-3.333510e-01,6.946403e-02,9.171293e+00
5.000000e+01,3.000000e+01,3.809291e-02,7.564329e+00,7.526236e+00,9.435353e+00,-5.694407e-01,1.088430e-01,9.453147e+00
7.000000e+01,3.000000e+01,1.929730e-01,7.564329e+00,7.371356e+00,9.786497e+00,-5.276403e-01,8.842469e-02,9.801110e+00
9.000000e+01,3.000000e+01,4.178881e-01,7.564329e+00,7.146441e+00,1.001389e+01,-2.216292e-01,4.132343e-02,1.001643e+01
1.100000e+02,3.000000e+01,4.178881e-01,7.564329e+00,7.146441e+00,1.001389e+01,2.216292e-01,-4.132343e-02,1.001643e+01
1.300000e+02,3.000000e+01,1.929730e-01,7.564329e+00,7.371356e+00,9.786497e+00,5.276403e-01,-8.842469e-02,9.801110e+00
1.500000e+02,3.000000e+01,3.809291e-02,7.564329e+00,7.526236e+00,9.435353e+00,5.694407e-01,-1.088430e-01,9.453147e+00
1.700000e+02,3.000000e+01,2.977000e-03,7.564329e+00,7.561352e+00,9.164970e+00,3.333510e-01,-6.946403e-02,9.171293e+00
1.900000e+02,3.000000e+01,8.818182e-05,7.564329e+00,7.564241e+00,9.078688e+00,1.051206e-01,-2.284156e-02,9.079326e+00
1.000000e+01,5.000000e+01,1.129364e-03,7.564329e+00,7.563200e+00,8.757790e+00,-1.768665e-01,4.711243e-02,8.759703e+00
