x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,8.194282e+00,1.941892e+00,2.524417e-02,8.421273e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,8.240586e+00,1.809175e+00,7.832712e-02,8.437209e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,8.374403e+00,1.661555e+00,1.303254e-01,8.538640e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,8.536102e+00,1.664840e+00,1.489611e-01,8.698214e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,8.654429e+00,1.742446e+00,1.349931e-01,8.829127e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,8.722738e+00,1.818936e+00,1.058502e-01,8.910998e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,8.744679e+00,1.933208e+00,5.681799e-02,8.955999e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,8.648376e+00,2.215594e+00,-2.188465e-02,8.927695e+00
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,8.490707e+00,2.166031e+00,-3.097933e-02,8.762691e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,8.427114e+00,2.055652e+00,-1.218280e-02,8.674221e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,8.061565e+00,1.906813e+00,4.801427e-02,8.284146e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,8.100417e+00,1.665623e+00,1.669953e-01,8.271575e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,8.302235e+00,1.289007e+00,3.342821e-01,8.408352e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.576547e+00,1.804427e+00,3.972555e-01,8.773308e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.731478e+00,1.974772e+00,3.574223e-01,8.959139e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.818119e+00,2.083780e+00,3.063940e-01,9.066158e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,8.943008e+00,2.222883e+00,2.049445e-01,9.217407e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,8.764787e+00,2.549365e+00,-1.175816e-01,9.128778e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,8.410736e+00,2.319919e+00,-9.552077e-02,8.725344e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,8.316736e+00,2.095689e+00,-3.092094e-02,8.576769e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,7.711901e+00,1.843970e+00,1.106179e-01,7.930062e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,7.622779e+00,1.321751e+00,4.616533e-01,7.750285e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.513207e+00,1.766366e+00,1.268878e+00,8.786626e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.745412e+00,2.395802e+00,-7.778116e-01,9.100938e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.037031e+00,2.754436e+00,-3.544888e-01,8.503319e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,7.978654e+00,2.179273e+00,-8.965477e-02,8.271408e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,7.017128e+00,1.878734e+00,2.275297e-01,7.267840e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,8.022813e+00,1.475545e+00,1.220486e+00,8.248173e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
