x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046095e+01,-3.771405e-04,1.967977e-04,1.046095e+01
7.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046141e+01,-1.131633e-03,5.877567e-04,1.046141e+01
1.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046261e+01,-1.886229e-03,9.707255e-04,1.046261e+01
1.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046443e+01,-2.639249e-03,1.340115e-03,1.046443e+01
2.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046686e+01,-3.386420e-03,1.689975e-03,1.046686e+01
2.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046990e+01,-4.119951e-03,2.013908e-03,1.046990e+01
3.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.047355e+01,-4.827737e-03,2.305053e-03,1.047355e+01
3.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.047777e+01,-5.492851e-03,2.556145e-03,1.047778e+01
4.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048255e+01,-6.093415e-03,2.759669e-03,1.048255e+01
4.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048781e+01,-6.603057e-03,2.908121e-03,1.048781e+01
5.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049347e+01,-6.992066e-03,2.994366e-03,1.049347e+01
5.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049943e+01,-7.229367e-03,3.012082e-03,1.049943e+01
6.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.050555e+01,-7.285258e-03,2.956264e-03,1.050555e+01
6.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051165e+01,-7.134757e-03,2.823723e-03,1.051165e+01
7.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051756e+01,-6.761141e-03,2.613540e-03,1.051756e+01
7.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.052308e+01,-6.159189e-03,2.327395e-03,1.052308e+01
