# Emissions Time Series
# =====================
# 
# Time-varying emission rates for a single source.
# Times must be in ascending order.
# 
# Format: CSV with time [s] and emission_rate [units/s]
# 
# Time reference: t=0 is simulation start
# Emission rates are mass per unit time (e.g., kg/s, g/s, moles/s depending on units)
# 
# Example uses:
# - Daily traffic cycles (rush hour variations)
# - Industrial shift changes
# - Episodic releases (accidents, maintenance events)
# - Seasonal heating/cooling variations
# - Weather-dependent emissions (temperature-sensitive)

# time [s],emission_rate [units/s],description
0.0,1.0,Initial steady emission
3600.0,1.0,After 1 hour
7200.0,1.5,Rush hour begins (7 AM local)
10800.0,1.5,Morning peak
14400.0,1.0,Mid-day baseline
18000.0,0.8,Afternoon reduction
21600.0,1.2,Evening rush begins (5 PM)
25200.0,1.5,Evening peak
28800.0,1.0,Evening reduction
32400.0,0.5,Night operation (minimal)
36000.0,0.5,Late night
39600.0,0.3,Pre-dawn minimum
43200.0,0.5,Early morning ramp-up
46800.0,1.0,Morning baseline restart
