# Automated Land-use classification data
# Grid: 10x10 points
# NLCD codes: 11=Water, 21=Developed Open, 31=Barren, 41=Deciduous, 42=Evergreen, 71=Grassland, etc.
# X[m] Y[m] NLCD_Code z0[m]
-1700.618664 -2220.000000 42 1.2000
-1322.703405 -2220.000000 42 1.2000
-944.788147 -2220.000000 42 1.2000
-566.872888 -2220.000000 42 1.2000
-188.957629 -2220.000000 42 1.2000
188.957629 -2220.000000 42 1.2000
566.872888 -2220.000000 42 1.2000
944.788147 -2220.000000 31 0.0200
1322.703405 -2220.000000 42 1.2000
1700.618664 -2220.000000 42 1.2000
-1700.618664 -1726.666667 42 1.2000
-1322.703405 -1726.666667 42 1.2000
-944.788147 -1726.666667 42 1.2000
-566.872888 -1726.666667 52 0.2000
-188.957629 -1726.666667 52 0.2000
188.957629 -1726.666667 31 0.0200
566.872888 -1726.666667 31 0.0200
944.788147 -1726.666667 31 0.0200
1322.703405 -1726.666667 31 0.0200
1700.618664 -1726.666667 42 1.2000
-1700.618664 -1233.333333 42 1.2000
-1322.703405 -1233.333333 42 1.2000
-944.788147 -1233.333333 52 0.2000
-566.872888 -1233.333333 31 0.0200
-188.957629 -1233.333333 31 0.0200
188.957629 -1233.333333 31 0.0200
566.872888 -1233.333333 31 0.0200
944.788147 -1233.333333 31 0.0200
1322.703405 -1233.333333 31 0.0200
1700.618664 -1233.333333 31 0.0200
-1700.618664 -740.000000 42 1.2000
-1322.703405 -740.000000 52 0.2000
-944.788147 -740.000000 31 0.0200
-566.872888 -740.000000 31 0.0200
-188.957629 -740.000000 31 0.0200
188.957629 -740.000000 31 0.0200
566.872888 -740.000000 31 0.0200
944.788147 -740.000000 31 0.0200
1322.703405 -740.000000 31 0.0200
1700.618664 -740.000000 31 0.0200
-1700.618664 -246.666667 52 0.2000
-1322.703405 -246.666667 52 0.2000
-944.788147 -246.666667 71 0.0400
-566.872888 -246.666667 71 0.0400
-188.957629 -246.666667 71 0.0400
188.957629 -246.666667 31 0.0200
566.872888 -246.666667 31 0.0200
944.788147 -246.666667 31 0.0200
1322.703405 -246.666667 31 0.0200
1700.618664 -246.666667 31 0.0200
-1700.618664 246.666667 52 0.2000
-1322.703405 246.666667 52 0.2000
-944.788147 246.666667 71 0.0400
-566.872888 246.666667 71 0.0400
-188.957629 246.666667 71 0.0400
188.957629 246.666667 31 0.0200
566.872888 246.666667 71 0.0400
944.788147 246.666667 31 0.0200
1322.703405 246.666667 31 0.0200
1700.618664 246.666667 31 0.0200
-1700.618664 740.000000 42 1.2000
-1322.703405 740.000000 52 0.2000
-944.788147 740.000000 42 1.2000
-566.872888 740.000000 71 0.0400
-188.957629 740.000000 71 0.0400
188.957629 740.000000 71 0.0400
566.872888 740.000000 31 0.0200
944.788147 740.000000 31 0.0200
1322.703405 740.000000 31 0.0200
1700.618664 740.000000 31 0.0200
-1700.618664 1233.333333 42 1.2000
-1322.703405 1233.333333 42 1.2000
-944.788147 1233.333333 52 0.2000
-566.872888 1233.333333 52 0.2000
-188.957629 1233.333333 31 0.0200
188.957629 1233.333333 31 0.0200
566.872888 1233.333333 31 0.0200
944.788147 1233.333333 31 0.0200
1322.703405 1233.333333 52 0.2000
1700.618664 1233.333333 42 1.2000
-1700.618664 1726.666667 42 1.2000
-1322.703405 1726.666667 42 1.2000
-944.788147 1726.666667 42 1.2000
-566.872888 1726.666667 52 0.2000
-188.957629 1726.666667 52 0.2000
188.957629 1726.666667 52 0.2000
566.872888 1726.666667 52 0.2000
944.788147 1726.666667 42 1.2000
1322.703405 1726.666667 42 1.2000
1700.618664 1726.666667 42 1.2000
-1700.618664 2220.000000 42 1.2000
-1322.703405 2220.000000 42 1.2000
-944.788147 2220.000000 42 1.2000
-566.872888 2220.000000 42 1.2000
-188.957629 2220.000000 42 1.2000
188.957629 2220.000000 42 1.2000
566.872888 2220.000000 42 1.2000
944.788147 2220.000000 42 1.2000
1322.703405 2220.000000 42 1.2000
1700.618664 2220.000000 42 1.2000
