x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.809934e+00,-1.807310e-03,3.436768e-02,2.810144e+00
7.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.828545e+00,-5.414399e-03,5.403914e-02,2.829067e+00
1.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.864271e+00,-8.967090e-03,6.984297e-02,2.865137e+00
1.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.897881e+00,-1.232468e-02,8.201630e-02,2.899068e+00
2.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.930658e+00,-1.520135e-02,9.129410e-02,2.932119e+00
2.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.962965e+00,-1.715141e-02,9.843207e-02,2.964649e+00
3.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,2.994305e+00,-1.763748e-02,1.040663e-01,2.996165e+00
3.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.023459e+00,-1.622532e-02,1.086803e-01,3.025455e+00
4.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.048820e+00,-1.287602e-02,1.125936e-01,3.050925e+00
4.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.068953e+00,-8.145901e-03,1.159594e-01,3.071154e+00
5.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.083171e+00,-3.048443e-03,1.187906e-01,3.085460e+00
5.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.091865e+00,1.268245e-03,1.210220e-01,3.094233e+00
6.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.096478e+00,3.867849e-03,1.225872e-01,3.098906e+00
6.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.099144e+00,4.308208e-03,1.234830e-01,3.101606e+00
7.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.102122e+00,2.747819e-03,1.237911e-01,3.104592e+00
7.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.107258e+00,-2.118143e-04,1.236606e-01,3.109717e+00
8.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.115638e+00,-3.746129e-03,1.232746e-01,3.118078e+00
8.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.127445e+00,-6.958678e-03,1.228198e-01,3.129864e+00
9.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.141939e+00,-8.985579e-03,1.224602e-01,3.144338e+00
9.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.157575e+00,-9.142778e-03,1.223082e-01,3.159956e+00
1.025000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.172312e+00,-7.158796e-03,1.223947e-01,3.174680e+00
1.075000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.184157e+00,-3.384260e-03,1.226548e-01,3.186520e+00
1.125000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.191785e+00,1.244007e-03,1.229491e-01,3.194153e+00
1.175000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.194982e+00,5.511726e-03,1.231146e-01,3.197358e+00
1.225000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.194694e+00,8.373273e-03,1.230244e-01,3.197073e+00
1.275000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.192668e+00,9.300477e-03,1.226291e-01,3.195035e+00
1.325000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.190856e+00,8.390953e-03,1.219602e-01,3.193197e+00
1.375000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.190884e+00,6.164447e-03,1.211016e-01,3.193187e+00
1.425000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.193763e+00,3.272216e-03,1.201600e-01,3.196024e+00
1.475000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.199799e+00,4.268871e-04,1.192495e-01,3.202020e+00
1.525000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.208500e+00,-1.536639e-03,1.184866e-01,3.210687e+00
1.575000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,3.218529e+00,-1.801855e-03,1.179683e-01,3.220691e+00
