x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.259427e+01,1.209679e+01,9.807782e+00,-1.558726e-01,6.585651e-02,9.809242e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.259427e+01,1.159224e+01,9.883255e+00,-3.850663e-01,1.625556e-01,9.892089e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.259427e+01,1.059564e+01,1.009120e+01,-5.188553e-01,2.168327e-01,1.010685e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.259427e+01,9.428574e+00,1.026815e+01,-3.681943e-01,1.766257e-01,1.027627e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.259427e+01,8.610590e+00,1.034518e+01,-1.481799e-01,7.077996e-02,1.034649e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.259427e+01,8.610590e+00,1.034518e+01,1.481799e-01,-7.077996e-02,1.034649e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.259427e+01,9.428574e+00,1.026815e+01,3.681943e-01,-1.766257e-01,1.027627e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.259427e+01,1.059564e+01,1.009120e+01,5.188553e-01,-2.168327e-01,1.010685e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.259427e+01,1.159224e+01,9.883255e+00,3.850663e-01,-1.625556e-01,9.892089e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.259427e+01,1.209679e+01,9.807782e+00,1.558726e-01,-6.585651e-02,9.809242e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.259427e+01,1.163929e+01,9.512423e+00,-2.337179e-01,1.304472e-01,9.516188e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.259427e+01,1.014392e+01,9.472773e+00,-6.009785e-01,3.233351e-01,9.497323e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.259427e+01,7.633869e+00,9.537441e+00,-8.287466e-01,4.628336e-01,9.584562e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.259427e+01,4.662237e+00,9.247374e+00,-3.107235e-01,3.385702e-01,9.258786e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.259427e+01,2.566230e+00,8.534579e+00,-8.928255e-02,1.425683e-01,8.536236e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.259427e+01,2.566230e+00,8.534579e+00,8.928255e-02,-1.425683e-01,8.536236e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.259427e+01,4.662237e+00,9.247374e+00,3.107235e-01,-3.385702e-01,9.258786e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.259427e+01,7.633869e+00,9.537441e+00,8.287466e-01,-4.628336e-01,9.584562e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.259427e+01,1.014392e+01,9.472773e+00,6.009785e-01,-3.233351e-01,9.497323e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.259427e+01,1.163929e+01,9.512423e+00,2.337179e-01,-1.304472e-01,9.516188e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.259427e+01,1.064214e+01,8.853410e+00,-3.674089e-01,2.779356e-01,8.865388e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.259427e+01,7.585371e+00,8.560866e+00,-9.393731e-01,7.441328e-01,8.644338e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.259427e+01,2.454427e+00,7.881119e+00,-4.369642e-01,1.162053e+00,7.978304e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.259427e+01,-3.620056e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.259427e+01,-7.904625e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.259427e+01,-7.904625e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.259427e+01,-3.620056e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.259427e+01,2.454427e+00,7.881119e+00,4.369642e-01,-1.162053e+00,7.978304e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.259427e+01,7.585371e+00,8.560866e+00,9.393731e-01,-7.441328e-01,8.644338e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.259427e+01,1.064214e+01,8.853410e+00,3.674089e-01,-2.779356e-01,8.865388e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.259427e+01,9.428574e+00,8.007115e+00,-3.821863e-01,5.159568e-01,8.032818e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.259427e+01,4.471526e+00,8.000272e+00,-7.258122e-01,1.400099e+00,8.154228e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.259427e+01,-3.849131e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.259427e+01,-1.369989e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.259427e+01,-2.064801e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.259427e+01,-2.064801e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.259427e+01,-1.369989e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.259427e+01,-3.849131e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.259427e+01,4.471526e+00,8.000272e+00,7.258122e-01,-1.400099e+00,8.154228e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.259427e+01,9.428574e+00,8.007115e+00,3.821863e-01,-5.159568e-01,8.032818e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.259427e+01,8.512157e+00,7.783127e+00,-1.998399e-01,7.272025e-01,7.819580e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.259427e+01,2.120127e+00,6.774995e+00,-2.262376e-01,1.454965e+00,6.933157e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.259427e+01,-8.609222e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.259427e+01,-2.131161e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.259427e+01,-3.027110e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.259427e+01,-3.027110e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.259427e+01,-2.131161e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.259427e+01,-8.609222e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.259427e+01,2.120127e+00,6.774995e+00,2.262376e-01,-1.454965e+00,6.933157e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.259427e+01,8.512157e+00,7.783127e+00,1.998399e-01,-7.272025e-01,7.819580e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.259427e+01,8.399718e+00,7.756185e+00,1.155046e-01,7.647339e-01,7.794650e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.259427e+01,1.831624e+00,6.513441e+00,1.039185e-01,1.456135e+00,6.675032e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.259427e+01,-9.193257e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.259427e+01,-2.224553e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.259427e+01,-3.145180e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.259427e+01,-3.145180e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.259427e+01,-2.224553e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.259427e+01,-9.193257e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.259427e+01,1.831624e+00,6.513441e+00,-1.039185e-01,-1.456135e+00,6.675032e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.259427e+01,8.399718e+00,7.756185e+00,-1.155046e-01,-7.647339e-01,7.794650e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.259427e+01,9.153412e+00,7.884497e+00,3.441435e-01,5.702510e-01,7.912579e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.259427e+01,3.765500e+00,7.647775e+00,5.624175e-01,1.430132e+00,7.800644e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.259427e+01,-5.278386e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.259427e+01,-1.598537e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.259427e+01,-2.353742e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.259427e+01,-2.353742e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.950000e+02,2.857964e+01,1.259427e+01,-1.598537e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.950000e+02,1.787266e+01,1.259427e+01,-5.278386e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.950000e+02,8.828773e+00,1.259427e+01,3.765500e+00,7.647775e+00,-5.624175e-01,-1.430132e+00,7.800644e+00
2.850000e+02,1.950000e+02,3.440860e+00,1.259427e+01,9.153412e+00,7.884497e+00,-3.441435e-01,-5.702510e-01,7.912579e+00
1.500000e+01,2.250000e+02,2.256554e+00,1.259427e+01,1.033772e+01,8.548770e+00,3.667738e-01,3.377350e-01,8.563297e+00
4.500000e+01,2.250000e+02,5.790004e+00,1.259427e+01,6.804268e+00,8.275351e+00,8.762328e-01,9.422581e-01,8.374788e+00
7.500000e+01,2.250000e+02,1.172108e+01,1.259427e+01,8.731900e-01,6.143034e+00,3.050284e-01,1.216082e+00,6.269671e+00
1.050000e+02,2.250000e+02,1.874284e+01,1.259427e+01,-6.148566e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
