# Receptor grid for multi-source test (5x5 grid, 200m spacing)
# Label, X [m], Y [m], Z [m]
R_00, 0.0, 0.0, 1.5
R_01, 0.0, 200.0, 1.5
R_02, 0.0, 400.0, 1.5
R_03, 0.0, 600.0, 1.5
R_04, 0.0, 800.0, 1.5
R_10, 200.0, 0.0, 1.5
R_11, 200.0, 200.0, 1.5
R_12, 200.0, 400.0, 1.5
R_13, 200.0, 600.0, 1.5
R_14, 200.0, 800.0, 1.5
R_20, 400.0, 0.0, 1.5
R_21, 400.0, 200.0, 1.5
R_22, 400.0, 400.0, 1.5
R_23, 400.0, 600.0, 1.5
R_24, 400.0, 800.0, 1.5
R_30, 600.0, 0.0, 1.5
R_31, 600.0, 200.0, 1.5
R_32, 600.0, 400.0, 1.5
R_33, 600.0, 600.0, 1.5
R_34, 600.0, 800.0, 1.5
R_40, 800.0, 0.0, 1.5
R_41, 800.0, 200.0, 1.5
R_42, 800.0, 400.0, 1.5
R_43, 800.0, 600.0, 1.5
R_44, 800.0, 800.0, 1.5
