x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.771925e+00,-1.682505e-01,6.848860e-02,9.773613e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.849722e+00,-4.044405e-01,1.648300e-01,9.859400e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006602e+01,-5.530408e-01,2.223574e-01,1.008366e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.025622e+01,-4.308208e-01,1.842336e-01,1.026691e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.034422e+01,-1.846464e-01,7.461186e-02,1.034613e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.034422e+01,1.846464e-01,-7.461186e-02,1.034613e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.025622e+01,4.308208e-01,-1.842336e-01,1.026691e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006602e+01,5.530408e-01,-2.223574e-01,1.008366e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.849722e+00,4.044405e-01,-1.648300e-01,9.859400e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.771925e+00,1.682505e-01,-6.848860e-02,9.773613e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.468814e+00,-2.529194e-01,1.433050e-01,9.473275e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.425469e+00,-6.424469e-01,3.413196e-01,9.453502e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.482102e+00,-9.916707e-01,4.998855e-01,9.546913e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.208917e+00,-3.063206e-01,4.128956e-01,9.223257e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.518673e+00,-8.871261e-02,1.869268e-01,8.521185e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.518673e+00,8.871261e-02,-1.869268e-01,8.521185e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.208917e+00,3.063206e-01,-4.128956e-01,9.223257e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.482102e+00,9.916707e-01,-4.998855e-01,9.546913e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.425469e+00,6.424469e-01,-3.413196e-01,9.453502e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.468814e+00,2.529194e-01,-1.433050e-01,9.473275e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.770389e+00,-4.056948e-01,3.142336e-01,8.785389e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.372987e+00,-1.100889e+00,8.270929e-01,8.485455e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.828026e+00,-4.192505e-01,1.549534e+00,7.990921e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,7.828026e+00,4.192505e-01,-1.549534e+00,7.990921e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.372987e+00,1.100889e+00,-8.270929e-01,8.485455e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.770389e+00,4.056948e-01,-3.142336e-01,8.785389e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,7.712353e+00,-4.542608e-01,6.034726e-01,7.749253e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,7.979695e+00,-8.558941e-01,1.793270e+00,8.223375e+00
