x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.267492e+01,1.217743e+01,4.911266e+00,-7.764677e-02,3.305850e-02,4.911991e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.267492e+01,1.167288e+01,4.948840e+00,-1.919252e-01,8.166516e-02,4.953233e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.267492e+01,1.067629e+01,5.052452e+00,-2.586661e-01,1.087902e-01,5.060239e+00
1.050000e+02,1.500000e+01,3.165699e+00,1.267492e+01,9.509216e+00,5.140334e+00,-1.823172e-01,8.830047e-02,5.144324e+00
1.350000e+02,1.500000e+01,3.983682e+00,1.267492e+01,8.691233e+00,5.178131e+00,-7.297567e-02,3.527666e-02,5.178765e+00
1.650000e+02,1.500000e+01,3.983682e+00,1.267492e+01,8.691233e+00,5.178131e+00,7.297567e-02,-3.527666e-02,5.178765e+00
1.950000e+02,1.500000e+01,3.165699e+00,1.267492e+01,9.509216e+00,5.140334e+00,1.823172e-01,-8.830047e-02,5.144324e+00
2.250000e+02,1.500000e+01,1.998629e+00,1.267492e+01,1.067629e+01,5.052452e+00,2.586661e-01,-1.087902e-01,5.060239e+00
2.550000e+02,1.500000e+01,1.002034e+00,1.267492e+01,1.167288e+01,4.948840e+00,1.919252e-01,-8.166516e-02,4.953233e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.267492e+01,1.217743e+01,4.911266e+00,7.764677e-02,-3.305850e-02,4.911991e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.267492e+01,1.171993e+01,4.764128e+00,-1.163901e-01,6.522071e-02,4.765995e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.267492e+01,1.022456e+01,4.744678e+00,-2.995869e-01,1.618156e-01,4.756880e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.267492e+01,7.714512e+00,4.778661e+00,-4.145503e-01,2.314073e-01,4.802187e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.267492e+01,4.742880e+00,4.637476e+00,-1.546635e-01,1.679587e-01,4.643093e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.267492e+01,2.646873e+00,4.289704e+00,-4.422174e-02,7.025972e-02,4.290508e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.267492e+01,2.646873e+00,4.289704e+00,4.422174e-02,-7.025972e-02,4.290508e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.267492e+01,4.742880e+00,4.637476e+00,1.546635e-01,-1.679587e-01,4.643093e+00
2.250000e+02,4.500000e+01,4.960403e+00,1.267492e+01,7.714512e+00,4.778661e+00,4.145503e-01,-2.314073e-01,4.802187e+00
2.550000e+02,4.500000e+01,2.450350e+00,1.267492e+01,1.022456e+01,4.744678e+00,2.995869e-01,-1.618156e-01,4.756880e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.267492e+01,1.171993e+01,4.764128e+00,1.163901e-01,-6.522071e-02,4.765995e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.267492e+01,1.072278e+01,4.435721e+00,-1.828167e-01,1.385707e-01,4.441649e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.267492e+01,7.666013e+00,4.290113e+00,-4.698671e-01,3.713785e-01,4.331716e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.267492e+01,2.535070e+00,3.968185e+00,-2.172025e-01,5.823352e-01,4.016563e+00
