x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+01,2.500000e+01,2.741818e+02,4.810906e+01,-2.260728e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,2.500000e+01,2.354286e+02,4.810906e+01,-1.873195e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,2.500000e+01,1.926234e+02,4.810906e+01,-1.445143e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,2.500000e+01,1.498182e+02,4.810906e+01,-1.017091e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,2.500000e+01,1.070130e+02,4.810906e+01,-5.890393e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,2.500000e+01,6.420779e+01,4.810906e+01,-1.609873e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,2.500000e+01,2.352381e+01,4.810906e+01,2.458525e+01,7.732024e+00,9.451934e-02,-1.995064e-03,7.732602e+00
3.750000e+02,2.500000e+01,5.454546e+00,4.810906e+01,4.265452e+01,6.920381e+00,5.183714e-02,-8.471906e-01,6.972238e+00
4.250000e+02,2.500000e+01,1.000000e+01,4.810906e+01,3.810906e+01,6.708363e+00,-7.237462e-03,-2.467631e-02,6.708412e+00
4.750000e+02,2.500000e+01,1.606061e+01,4.810906e+01,3.204846e+01,6.931540e+00,-1.158887e-02,1.136183e-01,6.932480e+00
5.250000e+02,2.500000e+01,1.606061e+01,4.810906e+01,3.204846e+01,6.931540e+00,1.158887e-02,-1.136183e-01,6.932480e+00
5.750000e+02,2.500000e+01,1.000000e+01,4.810906e+01,3.810906e+01,6.708363e+00,7.237462e-03,2.467631e-02,6.708412e+00
6.250000e+02,2.500000e+01,5.454546e+00,4.810906e+01,4.265452e+01,6.920381e+00,-5.183714e-02,8.471906e-01,6.972238e+00
6.750000e+02,2.500000e+01,2.352381e+01,4.810906e+01,2.458525e+01,7.732024e+00,-9.451934e-02,1.995064e-03,7.732602e+00
7.250000e+02,2.500000e+01,6.420779e+01,4.810906e+01,-1.609873e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e+02,2.500000e+01,1.070130e+02,4.810906e+01,-5.890393e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.250000e+02,2.500000e+01,1.498182e+02,4.810906e+01,-1.017091e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.750000e+02,2.500000e+01,1.926234e+02,4.810906e+01,-1.445143e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.250000e+02,2.500000e+01,2.354286e+02,4.810906e+01,-1.873195e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.750000e+02,2.500000e+01,2.741818e+02,4.810906e+01,-2.260728e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+01,7.500000e+01,3.106494e+02,4.810906e+01,-2.625403e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,7.500000e+01,2.628571e+02,4.810906e+01,-2.147481e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.250000e+02,7.500000e+01,2.150649e+02,4.810906e+01,-1.669559e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.750000e+02,7.500000e+01,1.672727e+02,4.810906e+01,-1.191637e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.194805e+02,4.810906e+01,-7.137146e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.750000e+02,7.500000e+01,7.168831e+01,4.810906e+01,-2.357925e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.250000e+02,7.500000e+01,2.389610e+01,4.810906e+01,2.421296e+01,7.756241e+00,1.343876e-01,1.192360e-01,7.758322e+00
3.750000e+02,7.500000e+01,3.333333e+00,4.810906e+01,4.477573e+01,6.936260e+00,7.726534e-02,-8.116966e-01,6.984019e+00
4.250000e+02,7.500000e+01,1.000000e+01,4.810906e+01,3.810906e+01,6.676650e+00,1.290598e-02,2.766900e-02,6.676719e+00
4.750000e+02,7.500000e+01,1.666667e+01,4.810906e+01,3.144239e+01,6.914699e+00,-2.980787e-03,1.454051e-01,6.916228e+00
5.250000e+02,7.500000e+01,1.666667e+01,4.810906e+01,3.144239e+01,6.914699e+00,2.980787e-03,-1.454051e-01,6.916228e+00
5.750000e+02,7.500000e+01,1.000000e+01,4.810906e+01,3.810906e+01,6.676650e+00,-1.290598e-02,-2.766900e-02,6.676719e+00
6.250000e+02,7.500000e+01,3.333333e+00,4.810906e+01,4.477573e+01,6.936260e+00,-7.726534e-02,8.116966e-01,6.984019e+00
6.750000e+02,7.500000e+01,2.389610e+01,4.810906e+01,2.421296e+01,7.756241e+00,-1.343876e-01,-1.192360e-01,7.758322e+00
7.250000e+02,7.500000e+01,7.168831e+01,4.810906e+01,-2.357925e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.750000e+02,7.500000e+01,1.194805e+02,4.810906e+01,-7.137146e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.250000e+02,7.500000e+01,1.672727e+02,4.810906e+01,-1.191637e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.750000e+02,7.500000e+01,2.150649e+02,4.810906e+01,-1.669559e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.250000e+02,7.500000e+01,2.628571e+02,4.810906e+01,-2.147481e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
9.750000e+02,7.500000e+01,3.106494e+02,4.810906e+01,-2.625403e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e+01,1.250000e+02,3.386078e+02,4.810906e+01,-2.904987e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
