# Land-use classification for Phase 1 feature test
# Domain: 0-300 x 0-300 m grid with NLCD land-use categories
# Maps spatial points to z0 values based on land-use type
# NLCD codes: 11=Water, 21=Developed Open, 71=Grassland, 41=Deciduous Forest, etc.
# X[m]  Y[m]  NLCD_Code  z0[m]
50.0 50.0 71 0.05
100.0 50.0 41 0.8
150.0 50.0 71 0.05
200.0 50.0 41 0.8
250.0 50.0 71 0.05
50.0 100.0 41 0.8
100.0 100.0 21 0.3
150.0 100.0 41 0.8
200.0 100.0 21 0.3
250.0 100.0 41 0.8
50.0 150.0 71 0.05
100.0 150.0 41 0.8
150.0 150.0 21 0.3
200.0 150.0 41 0.8
250.0 150.0 71 0.05
50.0 200.0 41 0.8
100.0 200.0 21 0.3
150.0 200.0 41 0.8
200.0 200.0 21 0.3
250.0 200.0 41 0.8
50.0 250.0 71 0.05
100.0 250.0 41 0.8
150.0 250.0 71 0.05
200.0 250.0 41 0.8
250.0 250.0 71 0.05
