x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,6.098142e+01,6.048393e+01,1.274244e+01,-6.579321e-02,6.798044e-02,1.274279e+01
4.500000e+01,1.500000e+01,1.002034e+00,6.098142e+01,5.997938e+01,1.283406e+01,-1.610340e-01,1.738759e-01,1.283625e+01
7.500000e+01,1.500000e+01,1.998629e+00,6.098142e+01,5.898279e+01,1.304756e+01,-1.989808e-01,2.185094e-01,1.305091e+01
1.050000e+02,1.500000e+01,3.165699e+00,6.098142e+01,5.781572e+01,1.325918e+01,-1.572485e-01,1.746786e-01,1.326126e+01
1.350000e+02,1.500000e+01,3.983682e+00,6.098142e+01,5.699774e+01,1.338724e+01,-6.016456e-02,6.705200e-02,1.338754e+01
1.650000e+02,1.500000e+01,3.983682e+00,6.098142e+01,5.699774e+01,1.338724e+01,6.016456e-02,-6.705200e-02,1.338754e+01
1.950000e+02,1.500000e+01,3.165699e+00,6.098142e+01,5.781572e+01,1.325918e+01,1.572485e-01,-1.746786e-01,1.326126e+01
2.250000e+02,1.500000e+01,1.998629e+00,6.098142e+01,5.898279e+01,1.304756e+01,1.989808e-01,-2.185094e-01,1.305091e+01
2.550000e+02,1.500000e+01,1.002034e+00,6.098142e+01,5.997938e+01,1.283406e+01,1.610340e-01,-1.738759e-01,1.283625e+01
2.850000e+02,1.500000e+01,4.974861e-01,6.098142e+01,6.048393e+01,1.274244e+01,6.579321e-02,-6.798044e-02,1.274279e+01
1.500000e+01,4.500000e+01,9.549815e-01,6.098142e+01,6.002644e+01,1.263414e+01,-9.116269e-02,1.060466e-01,1.263491e+01
4.500000e+01,4.500000e+01,2.450350e+00,6.098142e+01,5.853107e+01,1.272544e+01,-2.231463e-01,2.681802e-01,1.273022e+01
7.500000e+01,4.500000e+01,4.960403e+00,6.098142e+01,5.602101e+01,1.296086e+01,-2.726996e-01,3.375942e-01,1.296813e+01
1.050000e+02,4.500000e+01,7.932035e+00,6.098142e+01,5.304938e+01,1.318063e+01,-2.155972e-01,2.566387e-01,1.318489e+01
1.350000e+02,4.500000e+01,1.002804e+01,6.098142e+01,5.095338e+01,1.330318e+01,-8.233057e-02,9.768077e-02,1.330379e+01
1.650000e+02,4.500000e+01,1.002804e+01,6.098142e+01,5.095338e+01,1.330318e+01,8.233057e-02,-9.768077e-02,1.330379e+01
1.950000e+02,4.500000e+01,7.932035e+00,6.098142e+01,5.304938e+01,1.318063e+01,2.155972e-01,-2.566387e-01,1.318489e+01
2.250000e+02,4.500000e+01,4.960403e+00,6.098142e+01,5.602101e+01,1.296086e+01,2.726996e-01,-3.375942e-01,1.296813e+01
2.550000e+02,4.500000e+01,2.450350e+00,6.098142e+01,5.853107e+01,1.272544e+01,2.231463e-01,-2.681802e-01,1.273022e+01
2.850000e+02,4.500000e+01,9.549815e-01,6.098142e+01,6.002644e+01,1.263414e+01,9.116269e-02,-1.060466e-01,1.263491e+01
1.500000e+01,7.500000e+01,1.952132e+00,6.098142e+01,5.902929e+01,1.243661e+01,-1.247605e-01,1.800076e-01,1.243853e+01
4.500000e+01,7.500000e+01,5.008902e+00,6.098142e+01,5.597252e+01,1.253363e+01,-3.001516e-01,4.529769e-01,1.254540e+01
7.500000e+01,7.500000e+01,1.013985e+01,6.098142e+01,5.084157e+01,1.279970e+01,-3.519547e-01,5.552071e-01,1.281657e+01
1.050000e+02,7.500000e+01,1.621433e+01,6.098142e+01,4.476709e+01,1.300971e+01,-3.207914e-01,3.657963e-01,1.301881e+01
1.350000e+02,7.500000e+01,2.049890e+01,6.098142e+01,4.048252e+01,1.309687e+01,-1.266362e-01,1.311348e-01,1.309813e+01
1.650000e+02,7.500000e+01,2.049890e+01,6.098142e+01,4.048252e+01,1.309687e+01,1.266362e-01,-1.311348e-01,1.309813e+01
1.950000e+02,7.500000e+01,1.621433e+01,6.098142e+01,4.476709e+01,1.300971e+01,3.207914e-01,-3.657963e-01,1.301881e+01
2.250000e+02,7.500000e+01,1.013985e+01,6.098142e+01,5.084157e+01,1.279970e+01,3.519547e-01,-5.552071e-01,1.281657e+01
2.550000e+02,7.500000e+01,5.008902e+00,6.098142e+01,5.597252e+01,1.253363e+01,3.001516e-01,-4.529769e-01,1.254540e+01
2.850000e+02,7.500000e+01,1.952132e+00,6.098142e+01,5.902929e+01,1.243661e+01,1.247605e-01,-1.800076e-01,1.243853e+01
1.500000e+01,1.050000e+02,3.165699e+00,6.098142e+01,5.781572e+01,1.221883e+01,-1.151714e-01,2.723559e-01,1.222240e+01
4.500000e+01,1.050000e+02,8.122746e+00,6.098142e+01,5.285867e+01,1.232295e+01,-2.727703e-01,6.593448e-01,1.234359e+01
7.500000e+01,1.050000e+02,1.644340e+01,6.098142e+01,4.453801e+01,1.254580e+01,-3.449266e-01,6.453079e-01,1.256712e+01
1.050000e+02,1.050000e+02,2.629416e+01,6.098142e+01,3.468726e+01,1.267549e+01,-3.856483e-01,5.611406e-01,1.269377e+01
1.350000e+02,1.050000e+02,3.324229e+01,6.098142e+01,2.773913e+01,1.270525e+01,-1.347427e-01,2.164415e-01,1.270781e+01
1.650000e+02,1.050000e+02,3.324229e+01,6.098142e+01,2.773913e+01,1.270525e+01,1.347427e-01,-2.164415e-01,1.270781e+01
1.950000e+02,1.050000e+02,2.629416e+01,6.098142e+01,3.468726e+01,1.267549e+01,3.856483e-01,-5.611406e-01,1.269377e+01
2.250000e+02,1.050000e+02,1.644340e+01,6.098142e+01,4.453801e+01,1.254580e+01,3.449266e-01,-6.453079e-01,1.256712e+01
2.550000e+02,1.050000e+02,8.122746e+00,6.098142e+01,5.285867e+01,1.232295e+01,2.727703e-01,-6.593448e-01,1.234359e+01
2.850000e+02,1.050000e+02,3.165699e+00,6.098142e+01,5.781572e+01,1.221883e+01,1.151714e-01,-2.723559e-01,1.222240e+01
1.500000e+01,1.350000e+02,4.082116e+00,6.098142e+01,5.689930e+01,1.205821e+01,-5.700800e-02,3.408560e-01,1.206316e+01
4.500000e+01,1.350000e+02,1.047415e+01,6.098142e+01,5.050727e+01,1.212720e+01,-1.365431e-01,7.813300e-01,1.215311e+01
7.500000e+01,1.350000e+02,2.120350e+01,6.098142e+01,3.977792e+01,1.226488e+01,-2.005030e-01,8.400042e-01,1.229525e+01
1.050000e+02,1.350000e+02,3.390589e+01,6.098142e+01,2.707553e+01,1.235549e+01,-2.371909e-01,9.839890e-01,1.239688e+01
1.350000e+02,1.350000e+02,4.286537e+01,6.098142e+01,1.811604e+01,1.223539e+01,-7.798127e-02,2.119330e-01,1.223748e+01
1.650000e+02,1.350000e+02,4.286537e+01,6.098142e+01,1.811604e+01,1.223539e+01,7.798128e-02,-2.119330e-01,1.223748e+01
1.950000e+02,1.350000e+02,3.390589e+01,6.098142e+01,2.707553e+01,1.235549e+01,2.371909e-01,-9.839890e-01,1.239688e+01
2.250000e+02,1.350000e+02,2.120350e+01,6.098142e+01,3.977792e+01,1.226488e+01,2.005030e-01,-8.400042e-01,1.229525e+01
2.550000e+02,1.350000e+02,1.047415e+01,6.098142e+01,5.050727e+01,1.212720e+01,1.365431e-01,-7.813300e-01,1.215311e+01
2.850000e+02,1.350000e+02,4.082116e+00,6.098142e+01,5.689930e+01,1.205821e+01,5.700800e-02,-3.408560e-01,1.206316e+01
1.500000e+01,1.650000e+02,4.194555e+00,6.098142e+01,5.678686e+01,1.202888e+01,2.750521e-02,3.518169e-01,1.203405e+01
4.500000e+01,1.650000e+02,1.076265e+01,6.098142e+01,5.021877e+01,1.209136e+01,6.031274e-02,8.023782e-01,1.211810e+01
7.500000e+01,1.650000e+02,2.178753e+01,6.098142e+01,3.919389e+01,1.222538e+01,8.273937e-02,8.896940e-01,1.225799e+01
1.050000e+02,1.650000e+02,3.483980e+01,6.098142e+01,2.614162e+01,1.231186e+01,9.957517e-02,1.021138e+00,1.235453e+01
1.350000e+02,1.650000e+02,4.404607e+01,6.098142e+01,1.693535e+01,1.217262e+01,6.081224e-03,2.343239e-01,1.217488e+01
1.650000e+02,1.650000e+02,4.404607e+01,6.098142e+01,1.693535e+01,1.217262e+01,-6.081224e-03,-2.343239e-01,1.217488e+01
1.950000e+02,1.650000e+02,3.483980e+01,6.098142e+01,2.614162e+01,1.231186e+01,-9.957517e-02,-1.021138e+00,1.235453e+01
2.250000e+02,1.650000e+02,2.178753e+01,6.098142e+01,3.919389e+01,1.222538e+01,-8.273937e-02,-8.896940e-01,1.225799e+01
2.550000e+02,1.650000e+02,1.076265e+01,6.098142e+01,5.021877e+01,1.209136e+01,-6.031274e-02,-8.023782e-01,1.211810e+01
2.850000e+02,1.650000e+02,4.194555e+00,6.098142e+01,5.678686e+01,1.202888e+01,-2.750521e-02,-3.518169e-01,1.203405e+01
1.500000e+01,1.950000e+02,3.440860e+00,6.098142e+01,5.754056e+01,1.214310e+01,9.559598e-02,2.962623e-01,1.214709e+01
4.500000e+01,1.950000e+02,8.828773e+00,6.098142e+01,5.215265e+01,1.223756e+01,2.204710e-01,7.119986e-01,1.226024e+01
7.500000e+01,1.950000e+02,1.787266e+01,6.098142e+01,4.310876e+01,1.244240e+01,2.791443e-01,7.381194e-01,1.246740e+01
1.050000e+02,1.950000e+02,2.857964e+01,6.098142e+01,3.240178e+01,1.258750e+01,3.180627e-01,7.617658e-01,1.261454e+01
1.350000e+02,1.950000e+02,3.613169e+01,6.098142e+01,2.484972e+01,1.267274e+01,1.045100e-01,3.581194e-01,1.267823e+01
1.650000e+02,1.950000e+02,3.613169e+01,6.098142e+01,2.484972e+01,1.267274e+01,-1.045100e-01,-3.581194e-01,1.267823e+01
1.950000e+02,1.950000e+02,2.857964e+01,6.098142e+01,3.240178e+01,1.258750e+01,-3.180627e-01,-7.617658e-01,1.261454e+01
2.250000e+02,1.950000e+02,1.787266e+01,6.098142e+01,4.310876e+01,1.244240e+01,-2.791443e-01,-7.381194e-01,1.246740e+01
2.550000e+02,1.950000e+02,8.828773e+00,6.098142e+01,5.215265e+01,1.223756e+01,-2.204710e-01,-7.119986e-01,1.226024e+01
2.850000e+02,1.950000e+02,3.440860e+00,6.098142e+01,5.754056e+01,1.214310e+01,-9.559598e-02,-2.962623e-01,1.214709e+01
1.500000e+01,2.250000e+02,2.256554e+00,6.098142e+01,5.872486e+01,1.233634e+01,1.177786e-01,2.107254e-01,1.233870e+01
4.500000e+01,2.250000e+02,5.790004e+00,6.098142e+01,5.519141e+01,1.243727e+01,2.795951e-01,5.354886e-01,1.245193e+01
7.500000e+01,2.250000e+02,1.172108e+01,6.098142e+01,4.926034e+01,1.271602e+01,3.295460e-01,6.535868e-01,1.273707e+01
1.050000e+02,2.250000e+02,1.874284e+01,6.098142e+01,4.223858e+01,1.296200e+01,3.149331e-01,4.919813e-01,1.297515e+01
1.350000e+02,2.250000e+02,2.369556e+01,6.098142e+01,3.728586e+01,1.310626e+01,1.311656e-01,2.003197e-01,1.310844e+01
1.650000e+02,2.250000e+02,2.369556e+01,6.098142e+01,3.728586e+01,1.310626e+01,-1.311656e-01,-2.003197e-01,1.310844e+01
1.950000e+02,2.250000e+02,1.874284e+01,6.098142e+01,4.223858e+01,1.296200e+01,-3.149331e-01,-4.919813e-01,1.297515e+01
2.250000e+02,2.250000e+02,1.172108e+01,6.098142e+01,4.926034e+01,1.271602e+01,-3.295460e-01,-6.535868e-01,1.273707e+01
2.550000e+02,2.250000e+02,5.790004e+00,6.098142e+01,5.519141e+01,1.243727e+01,-2.795951e-01,-5.354886e-01,1.245193e+01
2.850000e+02,2.250000e+02,2.256554e+00,6.098142e+01,5.872486e+01,1.233634e+01,-1.177786e-01,-2.107254e-01,1.233870e+01
1.500000e+01,2.550000e+02,1.184203e+00,6.098142e+01,5.979722e+01,1.253288e+01,9.264271e-02,1.325536e-01,1.253393e+01
4.500000e+01,2.550000e+02,3.038501e+00,6.098142e+01,5.794292e+01,1.263037e+01,2.261949e-01,3.421844e-01,1.263703e+01
7.500000e+01,2.550000e+02,6.151035e+00,6.098142e+01,5.483038e+01,1.289130e+01,2.756949e-01,4.546613e-01,1.290226e+01
1.050000e+02,2.550000e+02,9.835939e+00,6.098142e+01,5.114548e+01,1.317389e+01,2.253832e-01,4.214996e-01,1.318256e+01
1.350000e+02,2.550000e+02,1.243504e+01,6.098142e+01,4.854637e+01,1.337782e+01,8.958717e-02,1.911107e-01,1.337949e+01
1.650000e+02,2.550000e+02,1.243504e+01,6.098142e+01,4.854637e+01,1.337782e+01,-8.958717e-02,-1.911107e-01,1.337949e+01
1.950000e+02,2.550000e+02,9.835939e+00,6.098142e+01,5.114548e+01,1.317389e+01,-2.253832e-01,-4.214996e-01,1.318256e+01
2.250000e+02,2.550000e+02,6.151035e+00,6.098142e+01,5.483038e+01,1.289130e+01,-2.756949e-01,-4.546613e-01,1.290226e+01
