x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.842106e+00,-1.295165e-01,4.216468e-02,9.843049e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.974792e+00,-3.772919e-01,1.206683e-01,9.982654e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.025112e+01,-5.546110e-01,1.735355e-01,1.026758e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.052401e+01,-4.188210e-01,1.432444e-01,1.053331e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.067259e+01,-1.748484e-01,5.845990e-02,1.067418e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.067259e+01,1.748484e-01,-5.845990e-02,1.067418e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.052401e+01,4.188210e-01,-1.432444e-01,1.053331e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.025112e+01,5.546110e-01,-1.735355e-01,1.026758e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.974792e+00,3.772919e-01,-1.206683e-01,9.982654e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.842106e+00,1.295165e-01,-4.216468e-02,9.843049e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.606186e+00,-2.131914e-01,9.171608e-02,9.608989e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.738541e+00,-6.389052e-01,2.645572e-01,9.763062e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.003232e+01,-9.664873e-01,4.075097e-01,1.008700e+01
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.001548e+01,-4.336683e-01,2.894790e-01,1.002904e+01
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,9.410027e+00,-1.413127e-01,1.245305e-01,9.411912e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,9.410027e+00,1.413127e-01,-1.245305e-01,9.411912e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.001548e+01,4.336683e-01,-2.894790e-01,1.002904e+01
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.003232e+01,9.664873e-01,-4.075097e-01,1.008700e+01
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.738541e+00,6.389052e-01,-2.645572e-01,9.763062e+00
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.606186e+00,2.131914e-01,-9.171608e-02,9.608989e+00
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.944926e+00,-3.679124e-01,2.254138e-01,8.955327e+00
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.957199e+00,-1.082064e+00,6.887564e-01,9.048573e+00
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.564994e+00,-6.258060e-01,1.109913e+00,8.659253e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,8.564994e+00,6.258060e-01,-1.109913e+00,8.659253e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,8.957199e+00,1.082064e+00,-6.887564e-01,9.048573e+00
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,8.944926e+00,3.679124e-01,-2.254138e-01,8.955327e+00
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,8.007999e+00,-4.073047e-01,4.595144e-01,8.031507e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,8.575568e+00,-8.888879e-01,1.337621e+00,8.724661e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,8.575568e+00,8.888879e-01,-1.337621e+00,8.724661e+00
2.850000e+02,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,8.007999e+00,4.073047e-01,-4.595144e-01,8.031507e+00
1.500000e+01,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,7.758679e+00,-2.242617e-01,6.827790e-01,7.791892e+00
4.500000e+01,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,7.355391e+00,-3.048413e-01,1.299879e+00,7.475586e+00
7.500000e+01,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.350000e+02,4.286537e+01,1.245987e+01,-3.040551e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.350000e+02,3.390589e+01,1.245987e+01,-2.144602e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.350000e+02,2.120350e+01,1.245987e+01,-8.743627e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.350000e+02,1.047415e+01,1.245987e+01,1.985722e+00,7.355391e+00,3.048413e-01,-1.299879e+00,7.475586e+00
2.850000e+02,1.350000e+02,4.082116e+00,1.245987e+01,8.377752e+00,7.758679e+00,2.242617e-01,-6.827790e-01,7.791892e+00
1.500000e+01,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,7.720731e+00,1.190627e-01,7.256468e-01,7.755671e+00
4.500000e+01,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,7.059511e+00,1.149350e-01,1.291954e+00,7.177677e+00
7.500000e+01,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.650000e+02,4.404607e+01,1.245987e+01,-3.158620e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.650000e+02,3.483980e+01,1.245987e+01,-2.237993e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.650000e+02,2.178753e+01,1.245987e+01,-9.327661e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.650000e+02,1.076265e+01,1.245987e+01,1.697220e+00,7.059511e+00,-1.149350e-01,-1.291954e+00,7.177677e+00
2.850000e+02,1.650000e+02,4.194555e+00,1.245987e+01,8.265313e+00,7.720731e+00,-1.190627e-01,-7.256468e-01,7.755671e+00
1.500000e+01,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,7.830157e+00,3.625602e-01,5.087562e-01,7.855039e+00
4.500000e+01,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,8.217990e+00,6.740199e-01,1.286922e+00,8.345408e+00
7.500000e+01,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.950000e+02,3.613169e+01,1.245987e+01,-2.367183e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,1.950000e+02,2.857964e+01,1.245987e+01,-1.611977e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,1.950000e+02,1.787266e+01,1.245987e+01,-5.412791e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.550000e+02,1.950000e+02,8.828773e+00,1.245987e+01,3.631095e+00,8.217990e+00,-6.740199e-01,-1.286922e+00,8.345408e+00
2.850000e+02,1.950000e+02,3.440860e+00,1.245987e+01,9.019008e+00,7.830157e+00,-3.625602e-01,-5.087562e-01,7.855039e+00
1.500000e+01,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,8.556708e+00,3.703708e-01,2.867339e-01,8.569518e+00
4.500000e+01,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,8.660898e+00,1.022273e+00,9.128553e-01,8.768666e+00
7.500000e+01,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,6.490191e+00,4.415866e-01,1.105413e+00,6.598448e+00
1.050000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,2.250000e+02,2.369556e+01,1.245987e+01,-1.123569e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,2.250000e+02,1.874284e+01,1.245987e+01,-6.282970e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,2.250000e+02,1.172108e+01,1.245987e+01,7.387855e-01,6.490191e+00,-4.415866e-01,-1.105413e+00,6.598448e+00
2.550000e+02,2.250000e+02,5.790004e+00,1.245987e+01,6.669864e+00,8.660898e+00,-1.022273e+00,-9.128553e-01,8.768666e+00
2.850000e+02,2.250000e+02,2.256554e+00,1.245987e+01,1.020331e+01,8.556708e+00,-3.703708e-01,-2.867339e-01,8.569518e+00
1.500000e+01,2.550000e+02,1.184203e+00,1.245987e+01,1.127567e+01,9.327216e+00,2.385270e-01,1.296606e-01,9.331167e+00
4.500000e+01,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,9.414809e+00,7.409664e-01,3.903011e-01,9.451984e+00
7.500000e+01,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,9.386145e+00,9.709289e-01,6.834596e-01,9.460948e+00
1.050000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,9.073338e+00,4.025905e-01,1.177474e+00,9.158274e+00
1.350000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,3.166299e+00,1.160582e-01,8.107600e-01,3.270512e+00
1.650000e+02,2.550000e+02,1.243504e+01,1.245987e+01,2.482354e-02,3.166299e+00,-1.160582e-01,-8.107600e-01,3.270512e+00
1.950000e+02,2.550000e+02,9.835939e+00,1.245987e+01,2.623929e+00,9.073338e+00,-4.025905e-01,-1.177474e+00,9.158274e+00
2.250000e+02,2.550000e+02,6.151035e+00,1.245987e+01,6.308833e+00,9.386145e+00,-9.709289e-01,-6.834596e-01,9.460948e+00
2.550000e+02,2.550000e+02,3.038501e+00,1.245987e+01,9.421367e+00,9.414809e+00,-7.409664e-01,-3.903011e-01,9.451984e+00
