x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,7.045455e+00,1.843182e+01,1.138636e+01,1.062394e+01,-1.311904e+00,4.480847e-01,1.071401e+01
4.500000e+01,1.500000e+01,1.159091e+01,1.843182e+01,6.840909e+00,9.742274e+00,-1.440301e-01,1.908205e-01,9.745207e+00
7.500000e+01,1.500000e+01,1.159091e+01,1.843182e+01,6.840909e+00,9.742274e+00,1.440301e-01,-1.908205e-01,9.745207e+00
1.050000e+02,1.500000e+01,7.045455e+00,1.843182e+01,1.138636e+01,1.062394e+01,1.311904e+00,-4.480847e-01,1.071401e+01
1.500000e+01,4.500000e+01,1.159091e+01,1.843182e+01,6.840909e+00,1.068782e+01,-6.561089e-01,1.704795e+00,1.084280e+01
4.500000e+01,4.500000e+01,2.000000e+01,1.843182e+01,-1.568182e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,4.500000e+01,2.000000e+01,1.843182e+01,-1.568182e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,4.500000e+01,1.159091e+01,1.843182e+01,6.840909e+00,1.068782e+01,6.561089e-01,-1.704795e+00,1.084280e+01
1.500000e+01,7.500000e+01,1.227273e+01,1.843182e+01,6.159091e+00,1.044368e+01,5.665943e-01,1.682141e+00,1.059344e+01
4.500000e+01,7.500000e+01,2.090909e+01,1.843182e+01,-2.477273e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.500000e+01,7.500000e+01,2.090909e+01,1.843182e+01,-2.477273e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,7.500000e+01,1.227273e+01,1.843182e+01,6.159091e+00,1.044368e+01,-5.665943e-01,-1.682141e+00,1.059344e+01
1.500000e+01,1.050000e+02,7.045455e+00,1.843182e+01,1.138636e+01,1.068400e+01,1.133503e+00,5.731283e-01,1.075924e+01
4.500000e+01,1.050000e+02,1.363636e+01,1.843182e+01,4.795455e+00,9.130344e+00,4.426732e-02,2.692251e-01,9.134420e+00
7.500000e+01,1.050000e+02,1.363636e+01,1.843182e+01,4.795455e+00,9.130344e+00,-4.426732e-02,-2.692251e-01,9.134420e+00
1.050000e+02,1.050000e+02,7.045455e+00,1.843182e+01,1.138636e+01,1.068400e+01,-1.133503e+00,-5.731283e-01,1.075924e+01
