x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,1.172946e+01,-1.887985e-01,7.711533e-02,1.173123e+01
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,1.182375e+01,-4.661135e-01,1.898777e-01,1.183445e+01
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.208163e+01,-6.277637e-01,2.542203e-01,1.210060e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.230343e+01,-4.509817e-01,2.084284e-01,1.231345e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.240323e+01,-1.831932e-01,8.404833e-02,1.240487e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.240323e+01,1.831932e-01,-8.404833e-02,1.240487e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.230343e+01,4.509817e-01,-2.084284e-01,1.231345e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.208163e+01,6.277637e-01,-2.542203e-01,1.210060e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,1.182375e+01,4.661135e-01,-1.898777e-01,1.183445e+01
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,1.172946e+01,1.887985e-01,-7.711533e-02,1.173123e+01
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,1.137183e+01,-2.832316e-01,1.550389e-01,1.137642e+01
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.132603e+01,-7.272380e-01,3.834738e-01,1.135583e+01
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.140432e+01,-9.967942e-01,5.506064e-01,1.146103e+01
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.104792e+01,-3.783388e-01,4.080039e-01,1.106192e+01
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,1.016038e+01,-1.099253e-01,1.739589e-01,1.016247e+01
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,1.016038e+01,1.099253e-01,-1.739589e-01,1.016247e+01
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,1.104792e+01,3.783388e-01,-4.080039e-01,1.106192e+01
2.250000e+02,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,1.140432e+01,9.967942e-01,-5.506064e-01,1.146103e+01
2.550000e+02,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,1.132603e+01,7.272380e-01,-3.834738e-01,1.135583e+01
2.850000e+02,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,1.137183e+01,2.832316e-01,-1.550389e-01,1.137642e+01
1.500000e+01,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,1.057447e+01,-4.459417e-01,3.334658e-01,1.058912e+01
4.500000e+01,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,1.022460e+01,-1.130281e+00,8.915185e-01,1.032545e+01
7.500000e+01,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,9.341581e+00,-5.347485e-01,1.383422e+00,9.458591e+00
1.050000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,7.500000e+01,2.049890e+01,1.245987e+01,-8.039030e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.950000e+02,7.500000e+01,1.621433e+01,1.245987e+01,-3.754461e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.250000e+02,7.500000e+01,1.013985e+01,1.245987e+01,2.320022e+00,9.341581e+00,5.347485e-01,-1.383422e+00,9.458591e+00
2.550000e+02,7.500000e+01,5.008902e+00,1.245987e+01,7.450966e+00,1.022460e+01,1.130281e+00,-8.915185e-01,1.032545e+01
2.850000e+02,7.500000e+01,1.952132e+00,1.245987e+01,1.050774e+01,1.057447e+01,4.459417e-01,-3.334658e-01,1.058912e+01
1.500000e+01,1.050000e+02,3.165699e+00,1.245987e+01,9.294169e+00,9.563869e+00,-4.696033e-01,6.225218e-01,9.595606e+00
4.500000e+01,1.050000e+02,8.122746e+00,1.245987e+01,4.337122e+00,9.518566e+00,-8.772653e-01,1.669403e+00,9.703587e+00
7.500000e+01,1.050000e+02,1.644340e+01,1.245987e+01,-3.983536e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.050000e+02,1.050000e+02,2.629416e+01,1.245987e+01,-1.383430e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.350000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.650000e+02,1.050000e+02,3.324229e+01,1.245987e+01,-2.078242e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
