x,y,z_terrain,z_physical,z_agl,u,v,w,speed
5.000000e+01,5.000000e+01,0.000000e+00,7.500000e+01,7.500000e+01,1.673377e+01,-1.531116e-02,-2.147579e-02,1.673379e+01
1.500000e+02,5.000000e+01,0.000000e+00,7.500000e+01,7.500000e+01,1.675263e+01,-1.161812e-02,-1.748498e-02,1.675264e+01
2.500000e+02,5.000000e+01,0.000000e+00,7.500000e+01,7.500000e+01,1.675263e+01,1.161812e-02,1.748498e-02,1.675264e+01
3.500000e+02,5.000000e+01,0.000000e+00,7.500000e+01,7.500000e+01,1.673377e+01,1.531116e-02,2.147579e-02,1.673379e+01
5.000000e+01,1.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673746e+01,-7.655580e-03,-5.339068e-02,1.673755e+01
1.500000e+02,1.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.676610e+01,-5.809059e-03,-3.942865e-02,1.676614e+01
2.500000e+02,1.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.676610e+01,5.809059e-03,3.942865e-02,1.676614e+01
3.500000e+02,1.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673746e+01,7.655580e-03,5.339068e-02,1.673755e+01
5.000000e+01,2.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673746e+01,7.655580e-03,-5.339068e-02,1.673755e+01
1.500000e+02,2.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.676610e+01,5.809059e-03,-3.942865e-02,1.676614e+01
2.500000e+02,2.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.676610e+01,-5.809059e-03,3.942865e-02,1.676614e+01
3.500000e+02,2.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673746e+01,-7.655580e-03,5.339068e-02,1.673755e+01
5.000000e+01,3.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673377e+01,1.531116e-02,-2.147579e-02,1.673379e+01
1.500000e+02,3.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.675263e+01,1.161812e-02,-1.748498e-02,1.675264e+01
2.500000e+02,3.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.675263e+01,-1.161812e-02,1.748498e-02,1.675264e+01
3.500000e+02,3.500000e+02,0.000000e+00,7.500000e+01,7.500000e+01,1.673377e+01,-1.531116e-02,2.147579e-02,1.673379e+01
