x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.774546e+00,-1.573321e-01,6.426278e-02,9.776024e+00
4.500000e+01,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.853123e+00,-3.884280e-01,1.582314e-01,9.862046e+00
7.500000e+01,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006802e+01,-5.231364e-01,2.118503e-01,1.008383e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.025286e+01,-3.758181e-01,1.736903e-01,1.026121e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.033602e+01,-1.526610e-01,7.004028e-02,1.033739e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.245987e+01,8.476186e+00,1.033602e+01,1.526610e-01,-7.004028e-02,1.033739e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.245987e+01,9.294169e+00,1.025286e+01,3.758181e-01,-1.736903e-01,1.026121e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.245987e+01,1.046124e+01,1.006802e+01,5.231364e-01,-2.118503e-01,1.008383e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.245987e+01,1.145783e+01,9.853123e+00,3.884280e-01,-1.582314e-01,9.862046e+00
2.850000e+02,1.500000e+01,4.974861e-01,1.245987e+01,1.196238e+01,9.774546e+00,1.573321e-01,-6.426278e-02,9.776024e+00
1.500000e+01,4.500000e+01,9.549815e-01,1.245987e+01,1.150489e+01,9.476529e+00,-2.360263e-01,1.291991e-01,9.480348e+00
4.500000e+01,4.500000e+01,2.450350e+00,1.245987e+01,1.000952e+01,9.438362e+00,-6.060317e-01,3.195615e-01,9.463196e+00
7.500000e+01,4.500000e+01,4.960403e+00,1.245987e+01,7.499465e+00,9.503598e+00,-8.306618e-01,4.588387e-01,9.550859e+00
1.050000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.206597e+00,-3.152823e-01,3.400033e-01,9.218266e+00
1.350000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.466986e+00,-9.160440e-02,1.449658e-01,8.468722e+00
1.650000e+02,4.500000e+01,1.002804e+01,1.245987e+01,2.431826e+00,8.466986e+00,9.160440e-02,-1.449658e-01,8.468722e+00
1.950000e+02,4.500000e+01,7.932035e+00,1.245987e+01,4.527833e+00,9.206597e+00,3.152823e-01,-3.400033e-01,9.218266e+00
