# V-shaped valley terrain running north-south
# Valley floor at z=0, ridges at z=300m on east and west sides
# Format: X Y Z
# Grid: 21 x 21 points covering 1000m x 1000m

# West ridge (x=0)
0.0 0.0 300.0
0.0 250.0 300.0
0.0 500.0 300.0
0.0 750.0 300.0
0.0 1000.0 300.0

# West slope (x=250)
250.0 0.0 150.0
250.0 250.0 150.0
250.0 500.0 150.0
250.0 750.0 150.0
250.0 1000.0 150.0

# Valley floor (x=500)
500.0 0.0 0.0
500.0 250.0 0.0
500.0 500.0 0.0
500.0 750.0 0.0
500.0 1000.0 0.0

# East slope (x=750)
750.0 0.0 150.0
750.0 250.0 150.0
750.0 500.0 150.0
750.0 750.0 150.0
750.0 1000.0 150.0

# East ridge (x=1000)
1000.0 0.0 300.0
1000.0 250.0 300.0
1000.0 500.0 300.0
1000.0 750.0 300.0
1000.0 1000.0 300.0
