x,y,z_terrain,z_physical,z_agl,u,v,w,speed
5.000000e+00,5.000000e+00,1.920621e+00,1.757126e+01,1.565064e+01,1.099643e+01,-2.842861e-02,2.547538e-01,1.099941e+01
1.500000e+01,5.000000e+00,2.768380e+00,1.757126e+01,1.480288e+01,1.096548e+01,-1.265225e-01,3.581108e-01,1.097205e+01
2.500000e+01,5.000000e+00,3.120524e+00,1.757126e+01,1.445073e+01,1.116737e+01,-2.229554e-01,4.717407e-01,1.117955e+01
3.500000e+01,5.000000e+00,4.556904e+00,1.757126e+01,1.301435e+01,1.122094e+01,-2.783128e-01,5.828805e-01,1.123951e+01
4.500000e+01,5.000000e+00,5.014778e+00,1.757126e+01,1.255648e+01,1.152704e+01,-2.871133e-01,6.983835e-01,1.155175e+01
5.500000e+01,5.000000e+00,6.740295e+00,1.757126e+01,1.083096e+01,1.158858e+01,-2.504714e-01,7.300253e-01,1.161425e+01
6.500000e+01,5.000000e+00,7.243688e+00,1.757126e+01,1.032757e+01,1.196269e+01,-3.318496e-01,7.276185e-01,1.198939e+01
7.500000e+01,5.000000e+00,8.964207e+00,1.757126e+01,8.607049e+00,1.197378e+01,-3.873258e-01,5.182429e-01,1.199125e+01
8.500000e+01,5.000000e+00,9.410929e+00,1.757126e+01,8.160328e+00,1.217499e+01,-2.723326e-01,3.655331e-01,1.218352e+01
9.500000e+01,5.000000e+00,1.073107e+01,1.757126e+01,6.840182e+00,1.200443e+01,-2.510107e-01,2.813684e-01,1.201035e+01
1.050000e+02,5.000000e+00,1.101019e+01,1.757126e+01,6.561063e+00,1.216071e+01,-2.273644e-01,2.181594e-01,1.216479e+01
1.150000e+02,5.000000e+00,1.158662e+01,1.757126e+01,5.984641e+00,1.214373e+01,-1.433731e-01,1.442169e-01,1.214543e+01
1.250000e+02,5.000000e+00,1.162633e+01,1.757126e+01,5.944930e+00,1.222200e+01,-7.493455e-02,1.090904e-02,1.222224e+01
1.350000e+02,5.000000e+00,1.132729e+01,1.757126e+01,6.243969e+00,1.232674e+01,-2.066680e-02,-7.079718e-02,1.232696e+01
1.450000e+02,5.000000e+00,1.112971e+01,1.757126e+01,6.441545e+00,1.230795e+01,7.015886e-02,-1.453611e-01,1.230901e+01
1.550000e+02,5.000000e+00,1.010062e+01,1.757126e+01,7.470634e+00,1.252977e+01,9.359813e-02,-1.941975e-01,1.253162e+01
1.650000e+02,5.000000e+00,9.740561e+00,1.757126e+01,7.830696e+00,1.250688e+01,1.107243e-01,-2.429903e-01,1.250973e+01
1.750000e+02,5.000000e+00,8.330115e+00,1.757126e+01,9.241142e+00,1.274107e+01,2.367550e-01,-3.518654e-01,1.274813e+01
1.850000e+02,5.000000e+00,7.918138e+00,1.757126e+01,9.653119e+00,1.264111e+01,1.824585e-01,-4.276850e-01,1.264966e+01
1.950000e+02,5.000000e+00,6.512985e+00,1.757126e+01,1.105827e+01,1.273287e+01,7.635031e-02,-6.195145e-01,1.274816e+01
2.050000e+02,5.000000e+00,6.146530e+00,1.757126e+01,1.142473e+01,1.257805e+01,6.362532e-02,-5.397572e-01,1.258978e+01
2.150000e+02,5.000000e+00,5.016943e+00,1.757126e+01,1.255431e+01,1.266287e+01,1.135118e-01,-5.238720e-01,1.267421e+01
2.250000e+02,5.000000e+00,4.747553e+00,1.757126e+01,1.282370e+01,1.257301e+01,1.157205e-01,-4.610893e-01,1.258199e+01
2.350000e+02,5.000000e+00,3.982541e+00,1.757126e+01,1.358872e+01,1.262747e+01,9.600940e-02,-3.967633e-01,1.263406e+01
2.450000e+02,5.000000e+00,3.812072e+00,1.757126e+01,1.375918e+01,1.261410e+01,6.220655e-02,-3.237515e-01,1.261841e+01
2.550000e+02,5.000000e+00,3.351667e+00,1.757126e+01,1.421959e+01,1.269537e+01,4.462139e-02,-2.717173e-01,1.269836e+01
2.650000e+02,5.000000e+00,3.250467e+00,1.757126e+01,1.432079e+01,1.272631e+01,3.736908e-02,-2.333306e-01,1.272850e+01
2.750000e+02,5.000000e+00,2.967243e+00,1.757126e+01,1.460401e+01,1.279569e+01,3.697044e-02,-2.117825e-01,1.279749e+01
2.850000e+02,5.000000e+00,2.898012e+00,1.757126e+01,1.467324e+01,1.282686e+01,3.110957e-02,-2.003144e-01,1.282846e+01
2.950000e+02,5.000000e+00,2.672117e+00,1.757126e+01,1.489914e+01,1.288921e+01,1.867486e-02,-2.041648e-01,1.289084e+01
3.050000e+02,5.000000e+00,2.606677e+00,1.757126e+01,1.496458e+01,1.292055e+01,-4.256407e-03,-2.331234e-01,1.292265e+01
3.150000e+02,5.000000e+00,2.365159e+00,1.757126e+01,1.520610e+01,1.294901e+01,-3.606705e-02,-2.963052e-01,1.295245e+01
3.250000e+02,5.000000e+00,2.290327e+00,1.757126e+01,1.528093e+01,1.293066e+01,-3.908270e-02,-2.905863e-01,1.293398e+01
