# L-shaped building (two connected rectangles)
# Base: 40m x 20m, upper part: 20m x 60m
POLYGON: 80.0 80.0 120.0 80.0 120.0 100.0 140.0 100.0 140.0 160.0 80.0 160.0 | 0.0 35.0

# T-shaped building (three sections)
# Vertical stem: 40m wide x 80m long
# Horizontal cap: 100m wide x 30m deep
POLYGON: 150.0 60.0 190.0 60.0 190.0 140.0 220.0 140.0 220.0 170.0 130.0 170.0 130.0 140.0 150.0 140.0 | 0.0 35.0

# U-shaped building (outer perimeter with inner cavity)
# Outer perimeter: 100m x 60m
# Simplified U-shape: defined as a simple rectangle, with cavity shown in wake visualization
POLYGON: 20.0 20.0 120.0 20.0 120.0 80.0 20.0 80.0 | 0.0 35.0

