x,y,z_terrain,z_physical,z_agl,u,v,w,speed
2.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046085e+01,-3.769233e-04,1.949656e-04,1.046085e+01
7.500000e+00,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046131e+01,-1.130969e-03,5.822248e-04,1.046131e+01
1.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046252e+01,-1.885081e-03,9.613866e-04,1.046252e+01
1.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046434e+01,-2.637554e-03,1.326789e-03,1.046434e+01
2.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046677e+01,-3.384085e-03,1.672408e-03,1.046677e+01
2.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.046982e+01,-4.116852e-03,1.991769e-03,1.046982e+01
3.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.047347e+01,-4.823713e-03,2.277935e-03,1.047347e+01
3.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.047770e+01,-5.487702e-03,2.523560e-03,1.047770e+01
4.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048248e+01,-6.086891e-03,2.721050e-03,1.048248e+01
4.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048775e+01,-6.594862e-03,2.862824e-03,1.048775e+01
5.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049342e+01,-6.981845e-03,2.941673e-03,1.049343e+01
5.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049939e+01,-7.216708e-03,2.951214e-03,1.049939e+01
6.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.050551e+01,-7.269692e-03,2.886392e-03,1.050552e+01
6.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051163e+01,-7.115761e-03,2.743994e-03,1.051163e+01
7.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051755e+01,-6.738148e-03,2.523105e-03,1.051755e+01
7.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.052308e+01,-6.131608e-03,2.225453e-03,1.052308e+01
8.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.052802e+01,-5.304731e-03,1.855570e-03,1.052802e+01
8.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053219e+01,-4.280856e-03,1.420746e-03,1.053219e+01
9.250000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053543e+01,-3.097234e-03,9.307523e-04,1.053544e+01
9.750000e+01,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053764e+01,-1.802478e-03,3.973597e-04,1.053764e+01
1.025000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053873e+01,-4.525561e-04,-1.663102e-04,1.053873e+01
1.075000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053870e+01,8.940997e-04,-7.465275e-04,1.053870e+01
1.125000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053758e+01,2.181788e-03,-1.329723e-03,1.053758e+01
1.175000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053544e+01,3.362298e-03,-1.903202e-03,1.053544e+01
1.225000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.053241e+01,4.398697e-03,-2.455744e-03,1.053241e+01
1.275000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.052863e+01,5.267617e-03,-2.978026e-03,1.052864e+01
1.325000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.052427e+01,5.959879e-03,-3.462852e-03,1.052427e+01
1.375000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051948e+01,6.479402e-03,-3.905165e-03,1.051948e+01
1.425000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.051441e+01,6.840772e-03,-4.301879e-03,1.051441e+01
1.475000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.050919e+01,7.065861e-03,-4.651550e-03,1.050919e+01
1.525000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.050392e+01,7.180167e-03,-4.953961e-03,1.050392e+01
1.575000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049868e+01,7.209301e-03,-5.209674e-03,1.049869e+01
1.625000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.049354e+01,7.176148e-03,-5.419628e-03,1.049354e+01
1.675000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048852e+01,7.098904e-03,-5.584815e-03,1.048853e+01
1.725000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.048365e+01,6.990168e-03,-5.706095e-03,1.048366e+01
1.775000e+02,2.500000e+00,0.000000e+00,1.250000e+01,1.250000e+01,1.047894e+01,6.856963e-03,-5.784140e-03,1.047894e+01
