wind_speed_m/s,particle_0.1um,particle_1.0um,particle_5.0um,particle_10um,particle_50um,particle_100um,particle_500um,particle_1000um
0.50,0.0745,0.0745,0.0744,0.0743,0.0735,0.0715,0.0559,0.0361
1.00,0.1397,0.1397,0.1395,0.1393,0.1378,0.1347,0.1055,0.0687
1.50,0.2009,0.2008,0.2006,0.2003,0.1982,0.1943,0.1521,0.1002
2.00,0.2599,0.2598,0.2596,0.2592,0.2567,0.2520,0.1980,0.1315
2.50,0.3176,0.3175,0.3172,0.3168,0.3140,0.3088,0.2431,0.1632
3.00,0.3750,0.3749,0.3745,0.3741,0.3710,0.3655,0.2881,0.1962
3.50,0.4321,0.4319,0.4315,0.4310,0.4277,0.4219,0.3335,0.2310
4.00,0.4889,0.4887,0.4882,0.4876,0.4842,0.4779,0.3793,0.2681
5.00,0.6017,0.6014,0.6008,0.6000,0.5962,0.5889,0.4717,0.3458
6.00,0.7125,0.7121,0.7114,0.7105,0.7062,0.6983,0.5643,0.4261
7.00,0.8207,0.8203,0.8195,0.8185,0.8138,0.8052,0.6571,0.5099
8.00,0.9265,0.9260,0.9252,0.9240,0.9189,0.9097,0.7496,0.5976
9.00,1.0298,1.0293,1.0284,1.0271,1.0217,1.0118,0.8415,0.6893
10.00,1.1308,1.1303,1.1293,1.1280,1.1223,1.1118,0.9328,0.7850
12.00,1.3307,1.3301,1.3289,1.3274,1.3213,1.3096,1.1168,0.9815
14.00,1.5285,1.5278,1.5264,1.5247,1.5181,1.5054,1.3019,1.1841
16.00,1.7242,1.7234,1.7219,1.7200,1.7130,1.6993,1.4891,1.3924
18.00,1.9179,1.9170,1.9154,1.9133,1.9059,1.8912,1.6783,1.6070
20.00,2.1097,2.1087,2.1070,2.1048,2.0970,2.0813,1.8696,1.8284
25.00,2.6911,2.6900,2.6880,2.6855,2.6763,2.6581,2.3963,2.3854
