wind_speed_m/s,particle_100um,particle_150um,particle_250um,particle_350um,particle_500um,particle_700um,particle_1000um
0.50,2.0524,2.0429,2.0256,2.0131,1.9942,1.9676,1.9219
1.00,2.6061,2.5917,2.5642,2.5445,2.5122,2.4677,2.3995
1.50,3.0642,3.0456,3.0100,2.9857,2.9454,2.8896,2.8065
2.00,3.4591,3.4371,3.3960,3.3672,3.3216,3.2610,3.1714
2.50,3.8162,3.7916,3.7465,3.7144,3.6648,3.5998,3.5041
3.00,4.1449,4.1175,4.0685,4.0338,3.9804,3.9118,3.8107
3.50,4.4512,4.4218,4.3700,4.3331,4.2764,4.2043,4.0986
4.00,4.7385,4.7069,4.6530,4.6141,4.5542,4.4789,4.3688
5.00,5.2851,5.2505,5.1918,5.1494,5.0852,5.0034,4.8809
6.00,5.7893,5.7514,5.6890,5.6441,5.5757,5.4896,5.3620
7.00,6.2566,6.2161,6.1507,6.1035,6.0316,5.9419,5.8105
8.00,6.6917,6.6483,6.5801,6.5312,6.4563,6.3633,6.2280
9.00,7.0987,7.0532,6.9833,6.9327,6.8552,6.7593,6.6205
10.00,7.4820,7.4343,7.3627,7.3105,7.2304,7.1328,6.9913
12.00,8.2043,8.1533,8.0778,8.0228,7.9384,7.8372,7.6926
14.00,8.8878,8.8343,8.7560,8.6982,8.6105,8.5068,8.3603
16.00,9.5379,9.4819,9.4014,9.3417,9.2516,9.1460,8.9982
18.00,10.1586,10.1000,10.0177,9.9564,9.8641,9.7570,9.6083
20.00,10.7535,10.6932,10.6092,10.5463,10.4521,10.3441,10.1950
25.00,12.5325,12.4688,12.3808,12.3155,12.2176,12.1057,11.9557
